react_smi,prod_smi,mr_num,mr_smi,iso_bool,iso_type,iso_corr_factor,f_ea_true,f_ea_mr
CCCCC(C)(C)C.[CH3],C.C[CH]CCC(C)(C)C,new_mr_14,CCC.[CH3]>>C.C[CH]C,False,,,31.322917499995953,30.4325
CCCCC(C)(C)C.[CH3],C.[CH2]C(C)(C)CCCC,new_mr_9,CC.[CH3]>>C.[CH2]C,False,,,36.1069774999914,35.97
CCCCC(C)(C)C.[H],CCC[CH]C(C)(C)C.[H][H],new_mr_13,CCC.[H]>>C[CH]C.[H][H],False,,,22.185890000022397,21.2208
CCCCC(C)(C)C.CC[C](C)C,CCC(C)C.[CH2]C(C)(C)CCCC,new_mr_12,CC.C[C](C)C>>CC(C)C.[CH2]C,False,,,47.0295562500047,37.4956
[CH2]CCCC(C)C,C=C.[CH2]CC(C)C,new_mr_34,[CH2]CCC>>C=C.[CH2]C,False,,,29.142982500006696,25.9484
[CH2]C(C)CC(C)CC,C=CCC(C)CC.[CH3],new_mr_37,[CH2]C(C)C>>C=CC.[CH3],False,,,31.841232500007095,30.002
CCC(C)C[C](C)C,C=C(C)C.C[CH]CC,new_mr_58,C[C](C)CC(C)C>>C=C(C)C.C[CH]C,False,,,25.409985000014927,25.4439
[CH2]C(C)(C)CCCC,C=C(C)CCCC.[CH3],new_mr_41,[CH2]C(C)(C)C>>C=C(C)C.[CH3],False,,,30.24675500000214,30.1589
C[CH]C(C)(C)CC,CC=C(C)C.[CH2]C,new_mr_54,C[CH]C(C)(C)CC>>CC=C(C)C.[CH2]C,False,,,27.593057500031932,27.5849
[CH2]C(C)(CC)C(C)C,C=C(CC)C(C)C.[CH3],new_mr_41,[CH2]C(C)(C)C>>C=C(C)C.[CH3],False,,,30.844762499990424,30.1589
CCC[CH]C(C)(C)C,CCCC=C(C)C.[CH3],new_mr_53,C[CH]C(C)(C)C>>CC=C(C)C.[CH3],False,,,31.387549999975448,29.7912
[CH2]CCCCCC,C=C.[CH2]CCCC,new_mr_34,[CH2]CCC>>C=C.[CH2]C,False,,,30.83660500001102,25.9484
C[C](C(C)C)C(C)C,CC=C(C)C(C)C.[CH3],new_mr_60,C[C](C)C(C)C>>CC=C(C)C.[CH3],False,,,28.605842500007412,28.8267
C[CH]C(C)C(C)CC,CC=CC(C)CC.[CH3],new_mr_49,C[CH]C(C)C>>CC=CC.[CH3],False,,,34.08077999998852,30.3007
CCC[CH]C(C)C,C=CC(C)C.[CH2]C,new_mr_46,C[CH]CCC>>C=CC.[CH2]C,False,,,29.186907500002803,28.5519
C[CH]C(CC)CC,C=CC(CC)CC.[H],new_mr_27,C[CH]C>>C=CC.[H],False,,,44.182902499986625,42.0394
C[CH]CC(C)(C)C,C=CCC(C)(C)C.[H],new_mr_27,C[CH]C>>C=CC.[H],False,,,41.8561325000114,42.0394
CC[CH]CCCCC,C=CCCCCC.[CH3],new_mr_45,C[CH]CC>>C=CC.[CH3],False,,,28.049249999985904,30.5367
CCC[C](C)CCC,C=C(C)CCC.[CH2]C,new_mr_57,CCC[C](C)C>>C=C(C)C.[CH2]C,False,,,28.609607499997907,28.4458
CCCC[C](C)CC,C=C(C)CC.[CH2]CC,new_mr_57,CCC[C](C)C>>C=C(C)C.[CH2]C,False,,,28.30087749999265,28.4458
C[CH]CCC,C=CC.[CH2]C,new_mr_46,C[CH]CCC>>C=CC.[CH2]C,False,,,29.78366000001209,28.5519
[CH2]CC(CC)C(C)C,C=C.CC[CH]C(C)C,new_mr_35,[CH2]CC(C)C>>C=C.C[CH]C,False,,,26.803662499991816,25.5556
C[CH]CC,CC=CC.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,40.47312249998974,39.503
C[CH]C(CC)C(C)C,CC=CC(C)C.[CH2]C,new_mr_50,C[CH]C(C)CC>>CC=CC.[CH2]C,False,,,30.135687499997204,29.1794
[CH2]CCC(C)CC,C=C.[CH2]C(C)CC,new_mr_34,[CH2]CCC>>C=C.[CH2]C,False,,,29.395865000010275,25.9484
[CH2]C(C)C(C)C,C=CC.C[CH]C,new_mr_39,[CH2]C(C)C(C)C>>C=CC.C[CH]C,False,,,24.897317499989526,24.6607
C[CH]C(C)(CC)CC,CC=C(CC)CC.[CH3],new_mr_53,C[CH]C(C)(C)C>>CC=C(C)C.[CH3],False,,,37.50002750002338,29.7912
CCC[CH]CCCC,C=CCCCC.[CH2]C,new_mr_46,C[CH]CCC>>C=CC.[CH2]C,False,,,30.429357499969143,28.5519
C[CH]CCCCCC,C=CC.[CH2]CCCC,new_mr_46,C[CH]CCC>>C=CC.[CH2]C,False,,,27.194595000003545,28.5519
[CH2]CCC(C)(C)CC,C=CCC(C)(C)CC.[H],new_mr_25,[CH2]CC>>C=CC.[H],False,,,37.31805249998345,40.4424
C[CH]C(C)C(C)(C)C,CC=CC(C)(C)C.[CH3],new_mr_49,C[CH]C(C)C>>CC=CC.[CH3],False,,,35.788834999992076,30.3007
CCC[CH]C(C)CC,CC=CCCC.[CH2]C,new_mr_50,C[CH]C(C)CC>>CC=CC.[CH2]C,False,,,30.311387499981635,29.1794
CC[CH]C(CC)CC,CCC=C(CC)CC.[H],new_mr_29,C[CH]C(C)C>>CC=C(C)C.[H],False,,,40.78248000001125,38.8943
[CH2]C(C)CC,C=CCC.[CH3],new_mr_37,[CH2]C(C)C>>C=CC.[CH3],False,,,31.262677500005367,30.002
CC[CH]C(C)C,CC=CCC.[CH3],new_mr_49,C[CH]C(C)C>>CC=CC.[CH3],False,,,29.83888000001535,30.3007
[CH2]C(C)(C)C(C)CC,C=C(C)C(C)CC.[CH3],new_mr_41,[CH2]C(C)(C)C>>C=C(C)C.[CH3],False,,,31.599645000010668,30.1589
C[CH]CCC(C)CC,C=CCCC(C)CC.[H],new_mr_27,C[CH]C>>C=CC.[H],False,,,43.436177499981454,42.0394
CC[CH]CCCC,C=CCCCC.[CH3],new_mr_45,C[CH]CC>>C=CC.[CH3],False,,,32.16439499997591,30.5367
[CH2]C(C)C(C)CC,C=CC.C[CH]CC,new_mr_39,[CH2]C(C)C(C)C>>C=CC.C[CH]C,False,,,25.80907500000606,24.6607
CCCC[CH]C(C)C,CCCCC=C(C)C.[H],new_mr_29,C[CH]C(C)C>>CC=C(C)C.[H],False,,,39.86946749999788,38.8943
CC[CH]C(C)CCC,CC=CCC.[CH2]CC,new_mr_50,C[CH]C(C)CC>>CC=CC.[CH2]C,False,,,28.35609750003158,29.1794
[CH2]C(CC)CCCC,C=C(CC)CCCC.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,39.854407500000235,38.2919
[CH2]CC(C)CC(C)C,C=CC(C)CC(C)C.[H],new_mr_25,[CH2]CC>>C=CC.[H],False,,,40.19200250000395,40.4424
[CH2]C(C)CC(C)(C)C,C=CC.[CH2]C(C)(C)C,new_mr_38,[CH2]C(C)CC>>C=CC.[CH2]C,False,,,28.76773749999103,27.861
[CH2]C(C)(CC)CCC,C=C(C)CC.[CH2]CC,new_mr_42,[CH2]C(C)(C)CC>>C=C(C)C.[CH2]C,False,,,27.559172499974807,26.4052
CCC[CH]CCCC,CCC=CCCCC.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,41.8774674999932,39.503
[CH2]C(CC)CC,C=CCC.[CH2]C,new_mr_38,[CH2]C(C)CC>>C=CC.[CH2]C,False,,,28.526150000012436,27.861
CC[CH]C(C)(C)C,CCC=C(C)C.[CH3],new_mr_53,C[CH]C(C)(C)C>>CC=C(C)C.[CH3],False,,,29.913552499987333,29.7912
CC[CH]CC(C)CC,C=CCC(C)CC.[CH3],new_mr_45,C[CH]CC>>C=CC.[CH3],False,,,27.365902499999066,30.5367
[CH2]C(C)(CC)C(C)C,C=C(C)CC.C[CH]C,new_mr_43,[CH2]C(C)(C)C(C)C>>C=C(C)C.C[CH]C,False,,,24.275464999990106,22.9351
C[CH]C(CC)CCC,C=CC(CC)CCC.[H],new_mr_27,C[CH]C>>C=CC.[H],False,,,45.11599499998496,42.0394
[CH2]CCCCCCC,C=C.[CH2]CCCCC,new_mr_34,[CH2]CCC>>C=C.[CH2]C,False,,,28.17035750000116,25.9484
CCC[C](CC)CC,C=C(CC)CCC.[CH3],new_mr_56,CC[C](C)C>>C=C(C)C.[CH3],False,,,29.756049999992626,30.2166
CCC[C](C)C(C)C,C=C(C)C(C)C.[CH2]C,new_mr_57,CCC[C](C)C>>C=C(C)C.[CH2]C,False,,,25.195379999986045,28.4458
C[CH]CC(C)(C)CC,CC=CC(C)(C)CC.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,41.66599999999207,39.503
CCC(C)(C)[C](C)C,C=C(C)C(C)(C)CC.[H],new_mr_30,C[C](C)C>>C=C(C)C.[H],False,,,43.55540250000146,40.608
CC[CH]CC(C)CC,C=CCC.C[CH]CC,new_mr_47,C[CH]CC(C)C>>C=CC.C[CH]C,False,,,22.960852499991944,26.8012
CC[CH]CC(C)(C)C,C=CCC.C[C](C)C,new_mr_48,C[CH]CC(C)(C)C>>C=CC.C[C](C)C,False,,,23.444027500020468,22.9289
C[CH]CCCC,C=CC.[CH2]CC,new_mr_46,C[CH]CCC>>C=CC.[CH2]C,False,,,30.41492500000558,28.5519
C[CH]CC(CC)CC,CC=CC(CC)CC.[H],new_mr_28,C[CH]CC>>CC=CC.[H],False,,,41.635879999996774,39.503
C[CH]C(C)C(C)C,CC=C(C)C(C)C.[H],new_mr_29,C[CH]C(C)C>>CC=C(C)C.[H],False,,,42.705140000008015,38.8943
[CH2]C(C)CC(C)CC,C=CC.[CH2]C(C)CC,new_mr_38,[CH2]C(C)CC>>C=CC.[CH2]C,False,,,28.293347499975994,27.861
C[CH]CC(C)C(C)C,C=CC.C[CH]C(C)C,new_mr_47,C[CH]CC(C)C>>C=CC.C[CH]C,False,,,27.99591249997789,26.8012
CC(C)[CH]C(C)C,CC=CC(C)C.[CH3],new_mr_49,C[CH]C(C)C>>CC=CC.[CH3],False,,,28.06556500001605,30.3007
CC[C](C)CC,C=C(C)CC.[CH3],new_mr_56,CC[C](C)C>>C=C(C)C.[CH3],False,,,29.677612500012316,30.2166
[CH2]CC(C)(C)C(C)C,C=C.C[C](C)C(C)C,new_mr_36,[CH2]CC(C)(C)C>>C=C.C[C](C)C,False,,,22.974029999994343,22.8002
[CH2]C(C)(C)C(C)C,C=C(C)C.C[CH]C,new_mr_43,[CH2]C(C)(C)C(C)C>>C=C(C)C.C[CH]C,False,,,22.93512499998556,22.9351
C[C](C)C(C)C(C)C,CC=C(C)C.C[CH]C,new_mr_62,C[C](C)C(C)C(C)C>>CC=C(C)C.C[CH]C,False,,,26.100862500018422,26.1253
[CH2]C(C)C(C)(C)C,C=C(C)C(C)(C)C.[H],new_mr_26,[CH2]C(C)C>>C=C(C)C.[H],False,,,40.204552500007935,38.2919
C[CH]CCC(C)C,C=CCCC(C)C.[H],new_mr_27,C[CH]C>>C=CC.[H],False,,,42.22949499999615,42.0394
CC[C](C)C(C)CC,CC=C(C)CC.[CH2]C,new_mr_61,CCC(C)[C](C)C>>CC=C(C)C.[CH2]C,False,,,27.291857500007666,28.6749
[CH2]C(CC)C(C)C,C=CCC.C[CH]C,new_mr_39,[CH2]C(C)C(C)C>>C=CC.C[CH]C,False,,,24.467480000004684,24.6607
[CH2]CCC(C)(C)C,C=C.[CH2]C(C)(C)C,new_mr_34,[CH2]CCC>>C=C.[CH2]C,False,,,27.293740000002913,25.9484
