preds_json_name,r2_train,median_ae_train,mae_train,rmse_train,r2_test,median_ae_test,mae_test,rmse_test
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_80,0.927335856,3.22033,5.306331973,8.123569844,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_100,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_20,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_40,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_60,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_80,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
random_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_100,0.994038513,1.313011212,1.721553295,2.309170318,0.946192317,3.234506746,4.779643078,6.913269149
random_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_20,0.993875674,1.336359738,1.749764575,2.342281026,0.946702055,3.191419666,4.736000894,6.877812328
random_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_40,0.994299212,1.266108297,1.675645684,2.260297424,0.944523993,3.215954325,4.814585648,7.02233025
random_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_60,0.993903036,1.328973981,1.740379935,2.334121139,0.94580809,3.162402634,4.770035034,6.939000132
random_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_80,0.994059612,1.319551583,1.724314605,2.305472387,0.94637965,3.192078699,4.737160214,6.899743798
random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_100,0.991190005,1.370260725,1.975324738,2.80717758,0.94931507,3.092787613,4.609589516,6.705429386
random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_20,0.996349951,0.540829931,1.119335017,1.820050681,0.941648711,3.32883891,4.974533105,7.20627355
random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_40,0.99439891,0.91003927,1.485978828,2.249489835,0.945149203,3.280091156,4.840142288,6.9797585
random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_60,0.992993699,1.127262279,1.713291404,2.506584258,0.947168612,3.228673332,4.719241049,6.84886534
random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_80,0.992030793,1.264885047,1.860624908,2.671039565,0.948931407,3.127056983,4.641522565,6.731739747
random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_100,0.970996873,2.963240248,3.932130494,5.311639015,0.940501081,3.990763598,5.488197337,7.608694091
random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_20,0.947585694,3.501630659,5.015876825,7.143613951,0.934768154,4.098591501,5.727900864,7.974438479
random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_40,0.955237896,3.323389098,4.67633158,6.597642105,0.93740823,4.032363707,5.637151941,7.806364624
random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_60,0.961317571,3.186196773,4.394015464,6.132944576,0.93896832,3.991858762,5.550677276,7.70860083
random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_80,0.966143622,3.073382433,4.163549148,5.737501333,0.940371999,3.954343613,5.492789269,7.617151237
stratified_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_100,0.994206244,1.288911157,1.693230195,2.276319349,0.945888845,3.128020948,4.749641616,6.932441241
stratified_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_20,0.993644039,1.370933716,1.788212161,2.382637911,0.946980011,3.179485054,4.715946955,6.859644573
stratified_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_40,0.99442364,1.260321354,1.660722484,2.231472395,0.94646912,3.157675258,4.73889761,6.895536993
stratified_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_60,0.993950145,1.315991755,1.730999173,2.324078727,0.946659195,3.224180034,4.74301858,6.882491089
stratified_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_80,0.993985108,1.325512219,1.73318408,2.31848931,0.947138602,3.166880594,4.713667812,6.850292358
stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_100,0.991296438,1.365158873,1.963844407,2.790773531,0.949962729,3.052252368,4.582625038,6.662955524
stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_20,0.996506889,0.522428751,1.087892952,1.76764205,0.94302927,3.290688207,4.919433318,7.115818742
stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_40,0.994585169,0.893930076,1.459543595,2.203624266,0.946332542,3.221772655,4.767766427,6.903671289
stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_60,0.993168006,1.119034411,1.692833189,2.474985846,0.947715264,3.17156979,4.700439733,6.811071707
stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_80,0.992136117,1.264532347,1.851253733,2.654933628,0.948582698,3.127024582,4.647566522,6.754950823
stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_100,0.971000369,2.955181448,3.926376287,5.313125327,0.941193366,3.896093737,5.446942512,7.564520736
stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_20,0.948846305,3.479191545,4.965671692,7.054072956,0.93706705,4.031554393,5.634296938,7.830314641
stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_40,0.955448391,3.307156752,4.655418036,6.580453178,0.938458975,4.010853437,5.582200572,7.74101141
stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_60,0.961278013,3.178888143,4.386171884,6.134751203,0.939404767,3.993712018,5.527549428,7.67913022
stratified_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_80,0.966340882,3.064295398,4.15084617,5.721423098,0.940243434,3.963146665,5.501171246,7.626126638
