rxn,h,f,spe,zpe,u
MR_17831_2_62_6_3_8_6,-627.78794186392,-627.84796486392,-628.03011086392,-627.8044488639199,-627.78888586392
MR_680410_2_4_1_6_5_8,-815.37672290718,-815.44212790718,-815.62754290718,-815.39501290718,-815.37766690718
MR_26575_1_20_2_8_6_6,-683.2942064971099,-683.3541394971099,-683.56248649711,-683.31044049711,-683.29515049711
MR_606920_1_10_1_1_3_1,-835.03850514253,-835.10431614253,-835.26264714253,-835.05746514253,-835.03944914253
MR_564043_1_62_6_5_8_18,-801.92563182615,-801.99320682615,-802.28839382615,-801.94553182615,-801.92657582615
MR_425930_2_0_1_3_1_1,-927.3187886270599,-927.38581362706,-927.54670262706,-927.33775662706,-927.3197326270599
MR_605133_0_37_3_2_4_2,-627.8410808458101,-627.89955784581,-628.08425684581,-627.85709184581,-627.8420258458101
MR_21120_2_27_2_9_6_8,-778.31699460552,-778.38181260552,-778.57039460552,-778.3350076055201,-778.31793860552
MR_185214_1_50_4_11_7_10,-603.44591786588,-603.49659386588,-603.62528886588,-603.45861586588,-603.4468618658799
MR_454302_2_37_3_3_4_1,-645.99360585307,-646.05585185307,-646.25956185307,-646.0109658530699,-645.99454985307
MR_606064_1_23_8_57,-643.93526565315,-643.99115965315,-644.17086565315,-643.95008765315,-643.9362096531501
MR_406636_1_24_1_7,-742.3945987565,-742.4557167565,-742.6754597565,-742.4123687565,-742.3955427565
MR_565255_1,-364.63493941177,-364.68645541177,-364.80029441177,-364.64825641177,-364.63588341177
MR_73560_2_56_5_10_5_9,-608.46965828152,-608.52685628152,-608.67231728152,-608.48462228152,-608.47060228152
MR_676690_0_41_3_4_8_34,-945.06362260519,-945.1313156051899,-945.38224160519,-945.0837576051899,-945.06456660519
MR_184050_2_69_7_12_8_45,-1007.965389427,-1008.0341584270001,-1008.286293427,-1007.985385427,-1007.966334427
MR_149046_1_47_4_11_4_7,-433.33931084496,-433.39115784496,-433.53831284496,-433.35239884495996,-433.34025484496
MR_607160_1_60_6_8_6_4,-716.78105428152,-716.83814028152,-716.97107628152,-716.79631928152,-716.78199828152
MR_454026_0_62_6_3_8_64,-894.8228716355,-894.8962516355,-895.1431496355,-894.8442956355,-894.8238166355
MR_447118_1_21_2_2_7_1,-684.07941799965,-684.14721299965,-684.34682999965,-684.0983409996501,-684.08036199965
MR_435910_1,-420.07545042124,-420.12139942124,-420.26342642124,-420.08667742124004,-420.07639542124
MR_225520_2_69_7_4_8_7,-833.8917307592701,-833.9500047592701,-834.09825275927,-833.9066517592701,-833.8926757592701
MR_554161_0_20_2_11_6_1,-772.05320273878,-772.11266273878,-772.26379073878,-772.06960373878,-772.05414673878
MR_45025_1,-399.21025245236996,-399.25506145237,-399.40411745237,-399.22099545236995,-399.21119645236996
MR_34479_2_66_7_10_7_3,-781.01112640696,-781.0801784069599,-781.28616840696,-781.0307784069599,-781.01207040696
MR_541095_1_63_6_6_6_3,-867.90841844094,-867.9764194409399,-868.19313944094,-867.9284614409399,-867.90936344094
MR_334026_0_7_1_2_8_13,-1004.1763621845,-1004.2432401845,-1004.3788161845,-1004.1953811845,-1004.1773061845
MR_502106_0_43_4_11_5_1,-419.99053539009,-420.04056139009,-420.17840739009,-420.00271939009,-419.99147939009
MR_675374_2,-436.0177508985,-436.0684578985,-436.1924018985,-436.0308248985,-436.01869489850003
MR_454026_0_3_1_3_4_10,-834.5203359229699,-834.5918409229699,-834.79711092297,-834.54101692297,-834.5212799229699
MR_112898_0_49_4_3_6_5,-603.48195123653,-603.5373552365301,-603.66169623653,-603.49593823653,-603.48289523653
MR_88074_2_3_1_5_4_4,-835.7353249683999,-835.8056159683999,-836.0384479684,-835.7561009684,-835.7362689683999
MR_421451_0_5_1_1_6_4,-1004.2183390276,-1004.2905580276,-1004.4192360276,-1004.2392700276,-1004.2192830276
MR_508987_1,-438.70038407365,-438.74525707365,-438.85145307365,-438.71089707365,-438.70132807365
MR_87747_1,-401.77647862094,-401.82828562094,-401.93976062094,-401.78983162094,-401.77742262094
MR_447321_2_17_2_9_3_2,-761.70765812342,-761.77288812342,-762.03058412342,-761.72725612342,-761.70860212342
MR_630622_2_44_4_10_6_4,-743.2926475220801,-743.35783652208,-743.58044252208,-743.31145152208,-743.2935915220801
MR_453297_1,-401.77175550637,-401.81628250637,-401.93735450637,-401.78227350637,-401.77270050637003
MR_533525_0_5_1_3_6_3,-887.82226783048,-887.8859408304801,-888.09273383048,-887.84066983048,-887.82321183048
MR_520658_1_18_2_9_4_2,-776.88977679049,-776.9526697904901,-777.19439479049,-776.9082157904901,-776.89072079049
MR_352953_0_17_2_8_3_5,-797.44495289909,-797.51758089909,-797.73767389909,-797.46642689909,-797.44589689909
MR_435068_1_18_2_1_4_9,-607.9864775465,-608.0460765465,-608.2406325465,-608.0033735465,-607.9874225465
MR_76727_0_16_2_8_2_4,-741.80518186434,-741.87211086434,-742.14134086434,-741.82512986434,-741.8061258643401
MR_57399_2_39_3_5_6_1,-805.98636105205,-806.05920605205,-806.35818305205,-806.0084190520499,-805.98730505205
MR_220338_0_48_4_5_5_3,-630.00331821063,-630.06756721063,-630.27804621063,-630.02126521063,-630.00426321063
MR_565255_1_41_3_3_8_34,-858.76826539718,-858.84507639718,-859.11340539718,-858.79118039718,-858.76920939718
MR_427011_2,-362.31816926493997,-362.36135526493996,-362.43902226494,-362.32781726494,-362.31911426493997
