rxn,h,f,spe,zpe,u
MR_654814_2_10_1_1_3_2,-828.28144773,-828.34176073,-828.45636773,-828.2976647300001,-828.28239273
MR_94904_1_71_8_8_8_62,-758.466970195,-758.529296195,-758.720535195,-758.483053195,-758.467915195
MR_169488_0_10_1_7_3_4,-875.4064250450001,-875.477207045,-875.741777045,-875.4278290450001,-875.407369045
MR_23532_0_8_1_2_1_2,-966.1218972830001,-966.1893992830001,-966.371334283,-966.141321283,-966.122841283
MR_61644_1_61_6_5_7_2,-874.3385173989999,-874.4003303989999,-874.651222399,-874.356398399,-874.3394613989999
MR_76447_0_35_3_3_8_44,-816.1991857,-816.2642177,-816.5201027,-816.2176467,-816.2001307
MR_447321_2,-405.427910918,-405.475314918,-405.649890918,-405.440093918,-405.42885491799996
MR_20185_0_55_5_10_8_34,-746.410395929,-746.476329929,-746.691041929,-746.428720929,-746.411339929
MR_541949_0_37_3_5_4_5,-858.451156687,-858.522372687,-858.787562687,-858.472257687,-858.452100687
MR_77957_0_19_2_3_5_6,-722.717422809,-722.784373809,-723.008810809,-722.737415809,-722.718367809
MR_455159_1,-421.451288326,-421.49758432600004,-421.662284326,-421.462855326,-421.452232326
MR_350204_1_44_4_5_6_2,-744.8859207410001,-744.9538187410001,-745.194509741,-744.905713741,-744.8868647410001
MR_191075_1_57_5_10_6_2,-644.3067502480001,-644.364315248,-644.546002248,-644.3224592480001,-644.3076942480001
MR_401314_1_28_2_12_7_4,-699.2648549200001,-699.32260692,-699.50000792,-699.28039192,-699.2657989200001
MR_113767_1,-289.578087111,-289.626822111,-289.735936111,-289.590027111,-289.579031111
MR_201053_0_50_4_11_7_17,-674.9222229239999,-674.974964924,-675.095971924,-674.9353289239999,-674.9231669239999
MR_467042_0_16_2_11_2_5,-871.5341235660001,-871.6082795660001,-871.869107566,-871.5568575660001,-871.5350675660001
MR_561527_0,-361.613957725,-361.65401972499996,-361.731370725,-361.622481725,-361.614901725
MR_428425_1_69_7_6_8_39,-904.665639388,-904.731384388,-904.990261388,-904.684432388,-904.666583388
MR_440142_0_21_2_9_7_16,-848.1791160949999,-848.2452650949999,-848.461162095,-848.197732095,-848.1800600949999
MR_492961_0_58_5_8_7_4,-778.110321224,-778.1801362240001,-778.344192224,-778.1301152240001,-778.111265224
MR_64959_0_41_3_5_8_36,-876.517955798,-876.586844798,-876.873700798,-876.5382507979999,-876.518899798
MR_420138_2_28_2_3_7_19,-908.385066274,-908.460740274,-908.700983274,-908.407565274,-908.386011274
MR_91212_0_12_5_10,-471.091891523,-471.137595523,-471.217841523,-471.10217452300003,-471.092835523
MR_37726_0_26_2_4_5_1,-742.25214894,-742.32047694,-742.58904494,-742.27271094,-742.25309294
MR_46975_1,-377.680238414,-377.720829414,-377.780216414,-377.688847414,-377.681182414
MR_537090_1,-321.72653496199996,-321.774001962,-321.862493962,-321.738142962,-321.72747896199996
MR_175139_1_19_2_9_5_3,-737.748621836,-737.809600836,-738.009257836,-737.765738836,-737.749566836
MR_317306_1_63_6_5_6_1,-779.869506796,-779.932765796,-780.149900796,-779.887814796,-779.870450796
MR_371387_2_0_1_4_1_2,-1059.45271507,-1059.5283900700001,-1059.72425707,-1059.47524007,-1059.45365907
MR_278565_1_54_5_5_7_7,-849.892337517,-849.9568295170001,-850.142414517,-849.910103517,-849.893281517
MR_288120_2_65_6_3_8_4,-774.078007518,-774.134838518,-774.256471518,-774.093197518,-774.078951518
MR_198127_2_17_2_13,-414.012783549,-414.057388549,-414.153716549,-414.022803549,-414.013727549
MR_379063_1,-437.48547650200004,-437.53307250200004,-437.684626502,-437.497673502,-437.486420502
MR_533336_2,-531.939020266,-531.982173266,-532.052229266,-531.9489562660001,-531.9399642660001
MR_528014_1,-340.688086716,-340.729104716,-340.809745716,-340.696744716,-340.689031716
MR_386518_0_5_6_4,-551.891207829,-551.9436608289999,-552.108488829,-551.904372829,-551.892151829
MR_128116_0_51_4_2_8_16,-702.8621832169999,-702.929467217,-703.167190217,-702.8806892169999,-702.8631282169999
MR_194646_0,-248.242181942,-248.277022942,-248.344049942,-248.248737942,-248.243125942
MR_16099_0_17_2_1_3_1,-586.2020653650001,-586.259638365,-586.437625365,-586.217559365,-586.2030093650001
MR_276700_0_31_8_7,-463.430594573,-463.477649573,-463.646256573,-463.441578573,-463.431539573
MR_352953_0_45_4_3_7_8,-719.0595138279999,-719.1224128279999,-719.278335828,-719.076929828,-719.0604578279999
MR_177625_1,-437.54580321,-437.59230421,-437.74764021,-437.55727221,-437.54674721
MR_236950_1,-364.95342798999997,-364.99676898999996,-365.12381099,-364.96328199,-364.95437198999997
MR_643518_0,-343.84931427000004,-343.89173527,-344.00771227,-343.85885827000004,-343.85025827000004
MR_60391_0_26_3_5,-574.036913153,-574.094847153,-574.280973153,-574.052672153,-574.037857153
MR_491000_1_40_3_3_7_3,-870.766049284,-870.8278632839999,-871.022683284,-870.783901284,-870.766993284
MR_118542_1_53_5_7_6_2,-698.774243409,-698.827532409,-698.946925409,-698.787829409,-698.775187409
MR_26575_1_30_3_5_3_2,-742.6687830049999,-742.733181005,-742.951590005,-742.686768005,-742.6697270049999
MR_183508_0_7_1_7_8_9,-833.661456844,-833.7262738439999,-833.919121844,-833.6794518439999,-833.662400844
MR_209912_2_55_5_9_8_34,-861.8681581980001,-861.942523198,-862.187703198,-861.890282198,-861.8691021980001
MR_669153_1,-322.277154822,-322.313714822,-322.363577822,-322.28427082200005,-322.278099822
MR_128116_0_55_5_5_8_58,-836.15597065,-836.22317665,-836.46120365,-836.1748916500001,-836.15691465
MR_80091_0,-289.59417772399996,-289.64220072399996,-289.752402724,-289.605893724,-289.59512172399997
MR_232680_0,-399.112193884,-399.15743688400005,-399.287646884,-399.123144884,-399.113137884
MR_369980_1,-458.56704224699996,-458.616692247,-458.776507247,-458.580182247,-458.56798624699996
MR_267392_0,-358.967369358,-359.008401358,-359.108124358,-358.976377358,-358.968313358
MR_421415_2_67_7_7_8_54,-945.981118966,-946.0444729660001,-946.248463966,-945.9984419660001,-945.9820629660001
MR_445561_0_31_3_2_4_10,-704.550208421,-704.617791421,-704.820637421,-704.569007421,-704.551152421
MR_29435_0_34_3_6_7_2,-744.768945135,-744.835661135,-745.079680135,-744.787767135,-744.769889135
MR_289964_2_58_5_10_7_15,-770.828101537,-770.885373537,-771.071882537,-770.843630537,-770.829046537
MR_17831_2_62_6_3_8_6,-628.090964966,-628.150987966,-628.333133966,-628.1074719659999,-628.091908966
MR_680410_2_4_1_6_5_8,-815.730762507,-815.796167507,-815.981582507,-815.749052507,-815.731706507
MR_26575_1_20_2_8_6_6,-683.622571062,-683.682504062,-683.890851062,-683.6388050620001,-683.623515062
MR_606920_1_10_1_1_3_1,-835.381850647,-835.447661647,-835.605992647,-835.400810647,-835.382794647
MR_564043_1_62_6_5_8_18,-802.328072735,-802.3956477349999,-802.690834735,-802.347972735,-802.329016735
