smi,h,f,spe,zpe,u
C=C(OC1C=CC=C1)N(CC1CNCCO1)N(C)C,-861.1185717093399,-861.18625370934,-861.50237670934,-861.1382397093399,-861.1195157093399
CCN(NC(O)CC1=CC=CN=N1)C(=O)OC=O,-908.74091373802,-908.80643973802,-909.01204373802,-908.75903873802,-908.74185773802
C=CCC(=N)C(C)=N,-343.78067582393,-343.82534382393,-343.94334082393,-343.79064182393,-343.78161982393
O=CNN=CO,-338.35546876572,-338.39101276572,-338.43505476572,-338.36185276572,-338.35641276572
C=C(CCO)OC1CCC1,-463.23942509452,-463.28784409452,-463.46149409452,-463.25095609452,-463.24036909452
C=C(C)OC,-232.20733268036,-232.24321368036,-232.32728168036,-232.21436568035998,-232.20827668036
C=C(CC(=O)NC(C)=O)CN(C=O)C(C)=O,-799.36823537388,-799.43118837388,-799.62535037388,-799.38609837388,-799.36917937388
CN=C(C)C=N,-266.44983843966,-266.49026343966,-266.57617343966,-266.45823943966,-266.45078243966003
C=CN(CN=C(C)C)CNC=N,-532.9285699953599,-532.98428699536,-533.18679299536,-532.9434629953599,-532.9295139953599
C=C(COC(C)=O)CC(=N)C(N)=NC1COCCO1,-933.12343765789,-933.19238465789,-933.45993365789,-933.14349065789,-933.12438165789
CC(O)N(C)C=N,-342.85926621068995,-342.90138221069,-343.01636321069,-342.86843121068995,-342.86021121068995
C=C(C(=O)O)C(C)C(=O)O,-534.04013974719,-534.0879427471899,-534.19054874719,-534.05131474719,-534.04108374719
CC(=O)C(C)=O,-306.25808992526,-306.29804792526,-306.35912792526,-306.26624992526,-306.25903392526
CC(C)=CC1=CC=NN1,-381.88304663709,-381.92717263709,-382.05298263709,-381.89291563708997,-381.88399063709
N=CCC(C(=O)O)C(O)ON1CCNCC1,-817.67762316989,-817.7382661698899,-817.97343316989,-817.69428116989,-817.67856816989
COC=CN,-248.25245149063,-248.28927749063,-248.36161049063,-248.25967349063,-248.25339549063
C=C1CC1(CN1CCO1)N=NC(=O)NC(C)=O,-833.37064928186,-833.43512228186,-833.63144728186,-833.38884128186,-833.37159328186
CN=CN(C)N1CC(NC(=N)N(C)C)C1C(=O)O,-871.28780973882,-871.35891473882,-871.62978873882,-871.30892573882,-871.28875373882
CC(=O)CC(C)=C(CNC(C)=O)C(C)=O,-709.25601102012,-709.32044302012,-709.54171902012,-709.27455202012,-709.25695602012
CC(N)C(C)(C)C=N,-346.17012367291,-346.21498267291,-346.38048767291,-346.18100867291,-346.17106767291
CC(C)=NOC(C)(C#N)C(=O)O,-607.47008731926,-607.5253463192599,-607.65371431926,-607.4845143192599,-607.47103131926
C=NC(C=O)=CN1CCCN1,-512.3374534537501,-512.38582745375,-512.53127545375,-512.34899445375,-512.3383984537501
C#CNC=NC,-265.21780269324,-265.25632369324,-265.32005669324,-265.22585269324003,-265.21874669324
