smi,h,f,spe,zpe,u
C=C(C)C(=N)N(CC(C)=NC)ON=O,-682.0257500103,-682.0877990103,-682.2676890103,-682.0430120103,-682.0266940103
C=C(N)N,-189.13480966561,-189.16698766561,-189.22699266561,-189.14050166561,-189.13575366561
C=COC(C)(O)C(=C)O,-459.93555348339,-459.98110348339003,-460.10120448339,-459.94663048339,-459.93649848339
CC(=N)CC(C)(ON)C(=O)CC1=CN=CN1,-759.4899168160899,-759.54937781609,-759.77296081609,-759.5068888160899,-759.4908608160899
C=C(C(=N)NN1CN1)C(C)NC(=O)OC,-737.4251845382499,-737.48515353825,-737.68966553825,-737.44201653825,-737.4261285382499
CN=CCNC(O)(O)OC=NC,-625.89211736755,-625.94779836755,-626.11255736755,-625.9069793675501,-625.89306136755
C=CN,-133.80831718276002,-133.83783918276,-133.88195418276,-133.81319618276,-133.80926218276002
CN(CNO)C(=O)O,-453.9873632128,-454.03160821280005,-454.1272362128,-453.99731921280005,-453.9883072128
CNC(O)C(C)(CCC=N)CC1CNN1,-687.77289959533,-687.83493659533,-688.12238359533,-687.79055359533,-687.77384359533
CCN,-135.00357449871998,-135.03434549872,-135.10147649872,-135.00889049871998,-135.00451949872
C=NC(ON(C)C)C(=CC)CN=C(C)C,-670.51823805374,-670.58560005374,-670.84998405374,-670.5376780537399,-670.51918205374
C=CN(NCO)C(C)=O,-456.11282324722004,-456.15880924722,-456.28123924722,-456.12374824722,-456.11376724722004
CC(CC1=NC=CN1)C(=O)C(C)(O)COC=O,-838.60750082531,-838.67043882531,-838.89618182531,-838.62532582531,-838.60844482531
CNCN(C=N)C(N)=NC(C)=O,-584.99748176563,-585.05200076563,-585.22167776563,-585.0116087656301,-584.99842576563
C=NN(C)C(O)O,-378.75756747485,-378.79822447485003,-378.88943647485,-378.76646847485,-378.75851147485
C=NC(C)=CC1CC1,-327.70094629887,-327.74373529887,-327.87464929887,-327.71046829887,-327.70189129887
CN=C(N)NN(C=CN(C=O)C(C)=O)N(C)C,-832.03075685817,-832.09961485817,-832.34090385817,-832.05118085817,-832.03170085817
CN(C=NC#N)C=NC(N)=O,-543.35475841918,-543.40551941918,-543.50143441918,-543.36702241918,-543.35570241918
C=C(O)C(N)=CNC,-380.91317879199,-380.95802379199,-381.07604779199,-380.92372779199,-380.91412279199
C=CNNCO,-303.546541975,-303.584423975,-303.674582975,-303.554201975,-303.54748597500003
CCC(CC1=CON=C1)N(O)ON(C)C=NC,-835.6957294996,-835.7620134996,-836.0046004996,-835.7149664996,-835.6966734996
C=CC1N(C=NO)C1(C)C(=C)CC1=CNN=C1,-760.35618128233,-760.41938228233,-760.64390028233,-760.3742012823301,-760.35712528233
C=NC(=C)C=N,-265.24772632046,-265.28454932046,-265.35053832046,-265.25486132045995,-265.24867132045995
N=C1C(C2NCN2)N1CC=NO,-583.61911556444,-583.6706425644401,-583.81867356444,-583.63181256444,-583.62006056444
CN(C=N)C=N,-282.52606673657,-282.56372073657,-282.64237073657,-282.53358673657,-282.52701073657
CN(OO)C(=O)NCC(=O)O,-642.4185165653499,-642.46893456535,-642.57345256535,-642.43096556535,-642.4194605653499
CC(C)=NOCC(N)=CC=NO,-588.68987755438,-588.74544355438,-588.91093255438,-588.70434555438,-588.69082155438
CC(CN)=NN,-283.68122566156,-283.71958566156,-283.82142466156,-283.68926166156,-283.68216966156
C=NCC(CN)C(=O)N(N)CC=N,-624.1777301592799,-624.2347371592799,-624.43185115928,-624.1930841592799,-624.1786741592799
C=CC(=N)CN(C)O,-380.85006597612,-380.89399097612,-381.01170197612,-380.86001297612,-380.85100997612
COCC(=O)OC,-382.62893375654005,-382.67130575654005,-382.76098975654,-382.63815575654,-382.62987875654005
CC#N,-132.64590458437,-132.67447358437,-132.69566958437,-132.65046058437,-132.64684858437
C=C(CC#N)NC1=NC=CN1,-490.15834441596,-490.20705641596004,-490.31736341596,-490.16948441596,-490.15928941596
C=CC(=N)NC,-266.45706065762,-266.49633465761997,-266.58431665762,-266.46524765761995,-266.45800565762
C=CN=C,-171.8597431413,-171.8913751413,-171.9383621413,-171.86509314129998,-171.8606871413
C=C(NCC(C)=O)N(C)OC,-534.5786030867799,-534.6318810867799,-534.80423808678,-534.59255608678,-534.5795480867799
CC=NOC(C)(C)C(=CC=CC=NO)NN,-760.54483512196,-760.6115041219599,-760.84807012196,-760.56437912196,-760.54577912196
CC(=O)NOC1CC(=NC(=O)O)C1,-682.66071587957,-682.7171278795701,-682.85145987957,-682.6748398795701,-682.66165987957
ONC(CN1CCCO1)=NCC1CNOC1,-797.64367043885,-797.70510643885,-797.95121843885,-797.66013943885,-797.64461443885
CC(NC1NN1)=C(C)C(=N)CO,-568.8321650356,-568.8870750356,-569.0670340356,-568.8464610356001,-568.8331090356
C=CC(=N)CON=C,-379.65841034174,-379.70261834174005,-379.79588234174,-379.66811034174003,-379.65935434174
C=CCC(=N)C=C,-288.4539367892,-288.4949367892,-288.5986287892,-288.46258678920003,-288.4548817892
C=C(C=CN(C)C=N)C(CN(C(C)=O)C(C)=O)=NO,-912.02416746033,-912.0973994603299,-912.34647946033,-912.04604546033,-912.02511246033
CC=NOCCC(O)C(=O)NC1CNCCN1,-837.05894291862,-837.12386291862,-837.39718091862,-837.07743791862,-837.05988691862
CNC(O)C=N,-303.58312509849003,-303.62180909849,-303.71063309849,-303.59106009849,-303.58406909849003
C=C(CCO)C(=N)N,-380.93143265873,-380.97443765873004,-381.09503565873,-380.94103165873,-380.93237765873
CC(=NO)ON(C)CC(=O)COC1=CC=NN1,-870.53997328477,-870.60431628477,-870.80261628477,-870.55803028477,-870.54091728477
CC=N,-133.81231930287998,-133.84216630288,-133.88559030288,-133.81720330288,-133.81326330288
C=C(C=CC)CN=CN,-383.04397188699,-383.09075988699,-383.23658588699,-383.05518988699,-383.04491588699
CC(N)=NOC=O,-377.59962347416996,-377.64144847417,-377.70763947417,-377.60855147417,-377.60056747416996
CN=CNCC12C(=CC(=O)NC)C1C2N,-684.2512813319299,-684.3138263319299,-684.52820033193,-684.26876833193,-684.2522253319299
O=C(O)NO,-320.15336823902,-320.18778823902,-320.21445023902,-320.15965123902,-320.15431323902
COC(=O)NN1C(C)=NC1(C)NC1=CON=C1,-849.53125882556,-849.5947818255601,-849.78320182556,-849.54909282556,-849.53220282556
C=CC=C(C)N,-250.40242265353,-250.44156865353,-250.54103565353,-250.41074065353,-250.40336665353001
CC(C)C(N)(N)N,-324.16835048395995,-324.21010148396,-324.36209948396,-324.17813748396,-324.16929448395996
CCC(=O)NC=NC,-380.95691661087,-381.00172461087,-381.11951561087,-380.96720761087,-380.95786061087
CC(=O)N(C)CNN1N(C(N)=O)C1(C)C(=N)N,-848.1188032316601,-848.18532823166,-848.41894023166,-848.13850423166,-848.1197472316601
O=CN=C1CC(OC(=O)O)C1,-588.13046458463,-588.1798845846299,-588.27433958463,-588.14190858463,-588.13140858463
C=C(C(N)=O)C(N)N,-397.01077072254003,-397.05299472254,-397.16380372254,-397.02019472254,-397.01171472254003
COC(=O)C=NC(C)C(C)=CON(C=O)C=O,-874.4337716145201,-874.50093161452,-874.69409361452,-874.4533476145201,-874.4347156145201
CNC(C=NC1OCCCO1)OOO,-760.0575304287499,-760.11303542875,-760.30188742875,-760.07238842875,-760.05847442875
CN(C)C(=N)OC=NNC=O,-565.5613789341801,-565.6149609341801,-565.74177893418,-565.5746599341801,-565.5623229341801
NC(N)C(O)OC(=O)O,-529.2541606218899,-529.29966162189,-529.40071662189,-529.26459762189,-529.2551046218899
CC=NONN(NCC(=O)OC=O)C(=O)O,-904.36934020087,-904.4328192008701,-904.57607320087,-904.38718420087,-904.3702842008701
N#CCC(C(N)=CC1CCCCC1)=C(N)C=O,-745.60703557722,-745.6727485772201,-745.93348657722,-745.62559957722,-745.60797957722
CNC(=O)CC(CC1=CC=NN=C1)C(=O)CN,-797.6138567587,-797.6797607587,-797.9043727587,-797.6323457587,-797.6148007587
CC=NCN(C)C(N)=CC(O)OC1NCCCO1,-876.30349588453,-876.37262088453,-876.67048888453,-876.32370688453,-876.30443988453
C=NON(C=O)C(C)=O,-490.81522758132,-490.86086258132,-490.93281658132,-490.82566758132003,-490.81617258132
C=NC(=N)CC,-266.45514380308003,-266.49376980308,-266.58210580308,-266.46294580308,-266.45608780308004
O=C(OO)C(O)(O)O,-529.65787442927,-529.69866242927,-529.74458842927,-529.66651842927,-529.65881842927
CC(C)=NC=N,-266.46405663776005,-266.50404563776004,-266.59037263776,-266.47242663776,-266.46500063776
CC(=N)C(N)=CNN,-377.05239316865,-377.09706016865,-377.21681616865,-377.06284016865,-377.05333716865
C=C(C)C(C)CON,-365.99057819818995,-366.03638719818997,-366.18831319819,-366.00155519819,-365.99152219818995
CN=NCNCNC(C)=O,-491.54698285122,-491.59827785121996,-491.74585385122,-491.55967585122,-491.54792785122
N#CCC(C=O)=C(N)C(N)=CC1CCCCC1,-745.59938580551,-745.66440880551,-745.92609880551,-745.61806880551,-745.60033080551
C=C=C(NOC)OC(=O)N(C)C,-608.57240233456,-608.63048933456,-608.78039533456,-608.58771233456,-608.57334633456
O=C1C=CNC1,-285.17898748546,-285.21323848546,-285.27130248546,-285.18499548546004,-285.17993148546003
C=C(ON=CC)N(C#N)NC=N,-582.4707902791699,-582.5273562791699,-582.64369427917,-582.4850322791699,-582.4717342791699
CNC(=O)NNC(NC=O)C(N)=O,-696.16458647181,-696.22052647181,-696.37145947181,-696.17934147181,-696.16553047181
COCC(N)=CC(=N)N,-436.24436640631995,-436.29078940631996,-436.42676940632,-436.25536840632,-436.24531040631996
CC(=O)C(CN=N)CN(C=O)C=O,-662.7818919740901,-662.84111097409,-662.98416397409,-662.79717797409,-662.7828359740901
NC(N)C(N)(O)O,-396.06354375426,-396.10423475426,-396.21008975426,-396.07270775426,-396.06448775426
O=C(COC=NO)NNC1=CC=NN1,-732.92180795642,-732.97586895642,-733.11053395642,-732.93557495642,-732.92275195642
CC(=O)N(CC1(C)NO1)C(C)=O,-608.64911029469,-608.7019552946899,-608.85774129469,-608.66271029469,-608.65005429469
C=CC(=C(N)N)C(CN=C)C(N)=O,-606.9838528171899,-607.04133281719,-607.22546981719,-606.9994438171899,-606.9847968171899
C=NOC=CC(C)CO,-439.99642881239,-440.04332281239,-440.17523681239,-440.00761581239,-439.99737281239
C=NN(COOC)C(=CO)NC(=O)N(C)C,-833.6481941736799,-833.7151971736799,-833.92757617368,-833.6673301736799,-833.6491391736799
CCNCC(=O)O,-362.76784820127,-362.80946820126996,-362.91309420127,-362.77673220126997,-362.76879220127
C=CC(=CN(C)C(C)=O)C(CC)ON(C)C(C)=O,-843.0049758213901,-843.07789382139,-843.36742182139,-843.02746282139,-843.0059198213901
N=CC(CC=NO)OC(=O)CN1CCN1,-757.26350189335,-757.3216638933501,-757.51593389335,-757.27932589335,-757.2644458933501
C=CC(=CO)OC(=O)N(C)C,-553.36199199804,-553.41426399804,-553.55353499804,-553.3751709980401,-553.36293599804
CNC(=O)CC(=O)NC(C(=O)NC(C)=O)N(C)C=O,-985.24423325435,-985.3180582543499,-985.54489325435,-985.2660522543499,-985.24517725435
CC(=O)N(COCC(N)OC1CNN1)C(C)=O,-872.98436895443,-873.04907695443,-873.29681495443,-873.00309895443,-872.98531295443
CC(=O)OC(=O)C=C(O)CN(C(=O)O)N(C)C=O,-985.69351135495,-985.7619373549501,-985.93779735495,-985.71328835495,-985.69445535495
CC(=O)OC(=O)ON1C=CN1,-604.07464199626,-604.12459099626,-604.20425799626,-604.08632999626,-604.07558599626
CC(N)(C=NC1OCCCO1)CN(O)O,-779.52141540551,-779.57997340551,-779.80904740551,-779.53760540551,-779.52235940551
CC(C)=NCC(C)C1C(C2=NC=CN2)C1C(O)O,-821.99299583604,-822.06111283604,-822.34718683604,-822.01283183604,-821.99393983604
CC(=O)CC(=O)OC(C)=O,-534.0365814551,-534.0863264551,-534.1845844551,-534.0485044551,-534.0375254551
CC(=O)C=C=O,-305.06452151721,-305.10283951721,-305.14239051721,-305.07192051721,-305.06546551721
CNC(=O)N=CNC(=O)NC(C)=O,-678.96957261021,-679.02985961021,-679.16342661021,-678.98483261021,-678.97051661021
CC(=N)C#N,-226.02370401382998,-226.05823901383,-226.09742501383,-226.02999101383,-226.02464901383
NCC(=O)OC=O,-397.53247495421,-397.57392195421,-397.62941895421,-397.54112795420997,-397.53341895421
CN=CNCC(C)(C=N)NC(N)=NC,-643.58231289538,-643.64340289538,-643.87681789538,-643.59984789538,-643.58325789538
C=NN(C)CC(=N)NC,-416.32066794165,-416.36796894164996,-416.51295194165,-416.33213294165,-416.32161194164996
CC(=O)N(C=O)CN(O)C#N,-584.25569963303,-584.30508363303,-584.39978363303,-584.26766963303,-584.25664363303
CN(N)NO,-281.46927054617,-281.50496154617,-281.57854954617,-281.47629654617,-281.47021454617
CC(C)(C)C=O,-271.49474630426,-271.53390330426,-271.64362730426,-271.50315730426,-271.49569030426
C=C(C(=N)N)C(C)N,-361.04824473954,-361.09137873954,-361.22436573954,-361.05822073954005,-361.04918873954
C=CC(=COC)C(CC)OC1=CC=NC=N1,-726.2094240059,-726.2726450059,-726.4919900059,-726.2268090059,-726.2103680059
N#COCC1=CC=NN=C1,-470.72997226732997,-470.77483226733,-470.84649626733,-470.73933826732997,-470.73091626733
C=C(C)CC1CNCCN1,-423.48830941332,-423.53576441332,-423.73661241332,-423.49960941332,-423.48925341332
C=C(NN)ON=C(C)C,-436.16035998434,-436.20870598434,-436.33955798434,-436.17207798434,-436.16130398434
C=C(N)O,-209.01876799245,-209.05122899244998,-209.09784099245,-209.02455499245,-209.01971199245
CCN(N)C1=CC=CC=C1,-421.13512297834,-421.18031897834,-421.33617597834,-421.14562397834,-421.13606697834
CC(COO)CC1CC1,-425.087787108,-425.136119108,-425.302304108,-425.099465108,-425.088731108
CN=CN=NC(C)=NN=C=O,-543.24512007614,-543.29639507614,-543.38771707614,-543.25779007614,-543.24606507614
N=C(CC=O)C(N)=CNNC(=O)O,-678.86461586398,-678.92126786398,-679.05839386398,-678.8792378639799,-678.86555986398
CN=C(C)NC(O)C(=CN1CCOC1)ON,-797.73226115254,-797.7973901525401,-798.03876215254,-797.75088815254,-797.73320515254
COCN(C=N)C(=O)OC1CCON1,-739.14859659654,-739.2063895965399,-739.38427959654,-739.16363959654,-739.14954059654
CC=NNCN,-283.67244264762,-283.71156164762,-283.81223664762,-283.68070464762,-283.67338664762
COONC(=O)C(=CC=O)NC(=O)O,-793.74133744756,-793.80095744756,-793.91270744756,-793.75727744756,-793.74228244756
CCC(=O)C(=O)CC1=NC=CN1,-570.39679666857,-570.4493076685701,-570.58450566857,-570.40940966857,-570.39774066857
CC(=O)N(C)CC(C)CN1CCCOC1,-691.70432128682,-691.76434128682,-692.05362128682,-691.72127428682,-691.70526528682
C=C(NN)N(C)C,-322.91562928645004,-322.95715228645,-323.08514928645,-322.92498428645,-322.91657328645005
CN=CC=CNN=O,-395.72143288748,-395.76470688748,-395.84732488748,-395.73100188748,-395.72237688748
C=CN(N)C(C)=O,-341.65793965999995,-341.69836865999997,-341.79094366,-341.66666965999997,-341.65888465999996
C=CCN(N)O,-303.50159588782003,-303.54039088782,-303.62797688782,-303.50965788782,-303.50253988782003
CC(C)C(=N)C(N)ON,-437.37541865257,-437.42357365257,-437.58076965257,-437.38718665257,-437.37636265257
C=CNCC(=O)NC(C)=O,-494.23559116844,-494.28679116844,-494.40994616844,-494.24789316844,-494.23653516844
C=C(NC(=O)NC)C(N)=CNCO,-644.1159861091099,-644.17342510911,-644.35822810911,-644.13160310911,-644.11693010911
CC(C)(CCN)OO,-403.10792674775996,-403.15145974776,-403.30523574776,-403.11830874775995,-403.10887074775997
COC(OC(=O)O)C(N)N,-568.4965542559601,-568.54625125596,-568.67235725596,-568.50873825596,-568.4974982559601
C=NON=C(N)C(NN(C=O)C(C)=O)=C(C)N,-866.74378696899,-866.81130596899,-867.00569996899,-866.76340196899,-866.74473096899
C=CC(OC1=CC=NC=N1)C(=COC)CC,-726.2014863228301,-726.26586632283,-726.48370032283,-726.21906932283,-726.2024303228301
NC=CNCC1=CC=CC=C1,-459.22679200915996,-459.27462000916,-459.43458900916,-459.23810500916,-459.22773600915997
COOCC(=O)CC(=N)CN,-570.4898456999399,-570.5452626999399,-570.69304169994,-570.50372869994,-570.4907906999399
CC(=N)C=NOC=CNC=O,-548.2846211189101,-548.33769011891,-548.45205611891,-548.29757511891,-548.2855651189101
CC(=O)N(C=O)CN(CNON(C=O)C(C)=O)C(=O)O,-1096.2753596216,-1096.3464236216,-1096.5550086216,-1096.2967386216,-1096.2763036216002
C=C(OCCO)C(C)=N,-440.05019927459,-440.09760127459003,-440.23003527459,-440.06141827459004,-440.05114327459
O=C(CC=NO)NC=NO,-546.13394261757,-546.18176961757,-546.27205961757,-546.14523661757,-546.13488661757
C=NCC(=O)C(C=O)NC(O)O,-644.59522353117,-644.6492225311699,-644.78014853117,-644.6090505311699,-644.59616753117
C=C(C)NNC(=O)NC=O,-510.28682584621,-510.33556284621,-510.44994384621,-510.29842784620996,-510.28776984621
CC(COO)C(NC1=NC=CC=N1)=C(N)N=N,-829.59939913444,-829.66094213444,-829.86475113444,-829.61663013444,-829.60034313444
C=C(N)C(=CC(C)CC(N)=NC)OC(=O)N(C)C,-839.23558068494,-839.30717168494,-839.60098668494,-839.25760268494,-839.23652468494
C=CC(O)(NN(C=O)C(C)=O)ONN(C=O)C=O,-981.74611620806,-981.81253620806,-981.98833420806,-981.76565120806,-981.74706020806
O=COOO,-339.89694488821,-339.93083788821,-339.94315588821,-339.90287888821,-339.89788888821
C=C(C)N(CNC=O)C(N)(N)N,-586.1505909464801,-586.20438794648,-586.39844794648,-586.16511794648,-586.1515349464801
COCCC(OC=O)C(O)C=N,-629.73369337353,-629.78775837353,-629.95548537353,-629.74774937353,-629.73463737353
CN(C)CCC(=N)CC=NC1=CC=NC=N1,-702.49679832528,-702.55918332528,-702.79277532528,-702.51373232528,-702.49774232528
C=CN(C)C(=N)O,-341.67168263075,-341.71215663075,-341.80506463075,-341.68027063075,-341.67262663075
C=C(OCC#N)N(CC)ON1C=CN=C1,-718.9330327811,-718.9917627811,-719.1598567811,-718.9486997811,-718.9339767811
CN(C)C(=O)C1NC1=O,-454.93535698,-454.98144398,-455.07953798,-454.94593698,-454.93630098
CC(C(N)=O)C1CO1,-400.81955995605,-400.86181495605,-400.97054395605,-400.82882395605,-400.82050395605
C=C(N)N(C)CNC1NCCN1,-550.17009810991,-550.22229210991,-550.44387410991,-550.1835801099099,-550.17104210991
CC(=O)N(C=O)OC(=O)C(=O)C=COC1CCNCO1,-1062.9503059439,-1063.0220029439001,-1063.2312699439,-1062.9708149439,-1062.9512499439002
C=NCC(=N)CC(C)=CC1=CNN=C1,-607.8936668532,-607.9524548532,-608.1413718532,-607.9086928532,-607.8946108532
N=CCC1=CN=CN=C1,-396.76302071073997,-396.80599771074,-396.89845971074,-396.77174971074,-396.76396471073997
N=CN(C=NN(C=O)C=O)CO,-639.59273571459,-639.64586071459,-639.75553471459,-639.60595671459,-639.59367971459
CC(C)(C)C(N)=O,-326.84223654158,-326.88567054158,-327.01024054158,-326.85202954158,-326.84318054158
C=CN(CC=O)CN1CNC1,-513.50376206696,-513.55425006696,-513.72047506696,-513.51608106696,-513.50470706696
CN(NNC=O)C(C)(CN1CCCO1)C(N)=O,-853.0634766321,-853.1257206321,-853.3882426321,-853.0817006320999,-853.0644206321
C=NOCNN(C)CC(=O)OC=O,-699.85426925848,-699.91133525848,-700.05623525848,-699.86924425848,-699.85521425848
C=NCNCC1COCOC1,-534.6101041114899,-534.65907211149,-534.84023911149,-534.62184711149,-534.6110491114899
CN=C(CN)N(O)C1=CC=NO1,-603.560652249,-603.613171249,-603.747384249,-603.573674249,-603.561596249
C=C(C)CC(C)=O,-309.56177333875,-309.60475733875,-309.71685133875,-309.57120833875,-309.56271733875
NN=NC(COC=O)=C(N)NC1CCNOC1,-867.92942403078,-867.99264803078,-868.21944503078,-867.9472670307799,-867.93036903078
CC(N)N(C)C(N)=O,-398.21274105355997,-398.25720605355997,-398.38886905356,-398.22322105356,-398.21368605355997
CC(=N)CNCN=C(C)C,-439.54986390336,-439.60137990336,-439.78380590336,-439.56297490336004,-439.55080790336
CN=NCC(=N)C(O)C(N=CN)C(C)N,-718.7356064324799,-718.79835843248,-719.03531143248,-718.7537684324799,-718.7365514324799
NC(=O)NC1=CC=NO1,-469.83790346025,-469.88091646025003,-469.94841746025,-469.84691046025,-469.83884846025
COCC(C)OO,-383.70249182537,-383.74626682536996,-383.85675882537,-383.71246282537,-383.70343682537
NC(=O)NC1=COC=N1,-469.87363579661,-469.91534679661,-469.98486279661,-469.88244579661,-469.87457979661
CC(=O)C(=NN(C(C)=O)C(C)=O)C(C)OC1=CON=C1,-1005.9170848248,-1005.9902058248,-1006.2070198248,-1005.9385248248,-1005.9180288248
CCC(O)CC,-272.67528488269,-272.71580288268996,-272.84923888269,-272.68422788269,-272.67622888269
CC(CC(N)=O)N(O)C(C)OCN1C=CN=C1,-835.89581057751,-835.95696157751,-836.20914057751,-835.91343757751,-835.89675457751
C=C(CN=C=O)OC(=O)N(C)C,-607.52105127494,-607.5765322749401,-607.70763027494,-607.53518927494,-607.52199527494
CC(C)=NOCC(=N)CN=NOON=C(C)C,-851.70037069572,-851.77349569572,-851.99269769572,-851.7218786957201,-851.70131469572
CC(C(C=N)=NC(=O)N(C)C)C(N)(N)N,-718.80986504463,-718.87324904463,-719.11135904463,-718.82835004463,-718.81080904463
C=C(C)C(=N)N(CC1COOC1)OC(=O)N(C)C,-894.9107400223401,-894.9808890223401,-895.23865302234,-894.93127702234,-894.9116840223401
CC(N)C(=N)CN,-322.96429614858,-323.00687814858,-323.13475214858,-322.97388214858,-322.96524014858
C=C(C(=O)OC=NO)C(CC(=O)NC=O)C(=O)O,-984.47075459418,-984.53403559418,-984.69149559418,-984.48904959418,-984.47169859418
CC(N)(C=N)CN,-322.96328253248004,-323.00497153248,-323.13338853248,-322.97273753248004,-322.96422653248004
C=C(CC(C)C)C(=N)N,-384.25526340541,-384.30308740541,-384.47193440541,-384.26691040541004,-384.25620740541
COC(=O)OC(C#N)(CN=C(C)C)C(C)=O,-799.31345921351,-799.38038421351,-799.56818021351,-799.33276021351,-799.31440421351
CC=NNC(N)=CC,-361.01008735166,-361.05693435166,-361.18358835166,-361.02130335166,-361.01103135166
C=CC(CN(C)C(C)=O)C(=N)CON1CCN1,-799.8348604983199,-799.90252649832,-800.16968049832,-799.85451149832,-799.8358054983199
CC(O)C(C)CN1CO1,-441.17896477975,-441.22602077975,-441.38175277975,-441.19026977975,-441.17990877975
C=CCC1C=CC=C1,-310.47524119912,-310.51621119912,-310.63801119912,-310.48380919912,-310.47618519912
C=C(N)C(O)=CC(CC=N)CC(C)=O,-650.05955603474,-650.11997403474,-650.32868003474,-650.0761960347401,-650.06050003474
CC=NONC=O,-377.52043777734,-377.56175477734,-377.62686177734,-377.52923277734004,-377.52138177734
CN(C)C(=O)NC(=N)C(=O)OC1OO1,-773.8860407084001,-773.9459667084001,-774.0709837084,-773.9017247084,-773.8869847084001
CCN(C)N(CN=O)CC(=N)N,-586.01388304628,-586.07145704628,-586.25802404628,-586.02926904628,-586.01482704628
C=C=C(C)N,-211.11203042250003,-211.14807742250002,-211.2204874225,-211.11918242250002,-211.1129744225
C#CC(=O)C(COC(C)=O)(CC(N)=NC)OC,-838.50528284261,-838.57311884261,-838.79067084261,-838.52547684261,-838.50622684261
CC(=NOC(=N)N)N(C=O)CC(=O)OC=O,-867.3560472777899,-867.41937327779,-867.56469827779,-867.3736872777899,-867.3569912777899
C=C(N)N(C)O,-303.53026047407,-303.56850247407,-303.65618947407,-303.53830547407,-303.53120447407
CC(=O)C(N)(N)NC(O)ON(C)C,-682.37039957527,-682.42843457527,-682.63319557527,-682.3867585752699,-682.37134457527
CNC=C(O)C(=N)N,-396.98481987415,-397.02907087414997,-397.13704587415,-396.99505587414995,-396.98576387415
CC(CNC=C(N)C=CC=NO)=NO,-682.06355210918,-682.12535210918,-682.30982210918,-682.08037110918,-682.06449610918
O=C(OC1=CON=C1)C1NCC1NOO,-811.8320650809201,-811.88810408092,-812.02367908092,-811.84631608092,-811.8330090809201
CN=CC=CNN,-321.73211706581003,-321.77421106581,-321.87756706581,-321.74149206581,-321.73306106581003
OC(O)(CC1=CN=CO1)OCC1=CN=CN1,-814.19424293289,-814.25171993289,-814.41804093289,-814.20942293289,-814.19518693289
CC(=O)N(C=O)CC(CC=O)OC1=NC=CN1,-853.4704737143201,-853.53389171432,-853.72268671432,-853.4879837143201,-853.4714177143201
CNON=O,-300.14555059609,-300.18103859609,-300.21656459609,-300.15226359609,-300.14649459609
CC(=O)OC(=O)CC#CN,-512.9023811940399,-512.95292319404,-513.03992219404,-512.91463619404,-512.9033251940399
C=C1N(O)C1(C=CN(C)C=N)CN(C(C)=O)C(C)=O,-911.96721109545,-912.0397680954501,-912.28789309545,-911.98904509545,-911.96815509545
NOC=O,-244.92817875303,-244.96012475303002,-244.98373575303,-244.93352375303002,-244.92912275303001
C=CC1=CN=CN=C1,-341.44617842966,-341.48539342966,-341.56316942966,-341.45373942966,-341.44712242966
CC(=O)NCC=COCN=CN,-588.79406053641,-588.84927053641,-589.01722753641,-588.80853553641,-588.79500453641
CC(NC=NC1OCCCO1)OOO,-760.09566628059,-760.15054528059,-760.34053628059,-760.11024128059,-760.09661028059
CC(=N)COC(C)COOC1=CNN=C1,-741.2041469188699,-741.26562891887,-741.46661191887,-741.2207569188699,-741.2050919188699
C=CC=C(CNNC=NC)NC1=CN=CN=C1,-756.58050326356,-756.64412526356,-756.87134526356,-756.59825726356,-756.58144726356
C=CN(C)C=N,-266.45133311328,-266.48890111327995,-266.57850011328,-266.45890011328,-266.45227711328
CC(C)C(C)OC1=CC=CN=N1,-535.60276212703,-535.65419912703,-535.83687012703,-535.61574912703,-535.60370612703
CC(=O)C=C(OC1CCONC1)C(=O)COC(C)=O,-972.85870960428,-972.9293796042799,-973.16892160428,-972.8793606042799,-972.85965460428
CC(CN)C(=O)N(C)N,-437.42182327924996,-437.47112327925,-437.62802227925,-437.43412427925,-437.42276727924997
C=C(C)C(C)=CC=NC,-366.98162302201,-367.02960802201,-367.18433002201,-366.99341002201,-366.98256702200996
C=C(C)OC(C)NN,-382.07386173862,-382.11875473862,-382.26029573862,-382.08447673862,-382.07480573862
CC(C)=C(NC1NN1)C(=N)CO,-568.81289839294,-568.86762839294,-569.04732439294,-568.8272033929401,-568.81384239294
CCCC(O)CN,-327.98480479296,-328.02840679296,-328.17790579296,-327.99488079296003,-327.98574979296
CC(=O)OCC(=N)N=NC1CCCNO1,-757.29390712706,-757.3517881270601,-757.54574712706,-757.30949512706,-757.29485112706
CC(CNC=O)(NCN=N)C(=O)NO,-735.30944427793,-735.36637927793,-735.54399027793,-735.32504327793,-735.31038927793
CC(=O)N(C)ONN(N)O,-564.45350498213,-564.5040869821299,-564.62529298213,-564.4663109821299,-564.45444898213
C=NOC1=CN=CN1,-394.56746376233997,-394.60650676233996,-394.67055476234,-394.57521176233996,-394.56840776234
CCC(C)(C)N(CN(C)C)NN=CN,-629.82806382569,-629.89120882569,-630.18029982569,-629.84652882569,-629.82900782569
C=C(CNC(C)=O)OC(N)CNC=N,-683.38141864464,-683.44235764464,-683.65309864464,-683.3981586446399,-683.3823626446399
CN(O)C#N,-263.08518131816,-263.12009531816,-263.15812831816,-263.09173731815997,-263.08612531816
CC=NC1CNO1,-341.57823252641,-341.61836152640996,-341.71091052641,-341.58650552640995,-341.57917652641
CC(C)(NO)C(=O)O,-437.92973513697,-437.97268213697004,-438.07970113697,-437.93959313697,-437.93068013697
