smi,h,f,spe,zpe,u
CC(C)=CC1=CC=NN1,-382.08157302399997,-382.12569902399997,-382.251509024,-382.09144202399995,-382.08251702399997
N=CCC(C(=O)O)C(O)ON1CCNCC1,-818.057679225,-818.1183222249999,-818.353489225,-818.074337225,-818.058624225
COC=CN,-248.375733996,-248.41255999600003,-248.484892996,-248.38295599600002,-248.376677996
C=C1CC1(CN1CCO1)N=NC(=O)NC(C)=O,-833.7511210399999,-833.81559404,-834.01191904,-833.7693130399999,-833.7520650399999
CN=CN(C)N1CC(NC(=N)N(C)C)C1C(=O)O,-871.713230553,-871.784335553,-872.055209553,-871.734346553,-871.714174553
CC(=O)CC(C)=C(CNC(C)=O)C(C)=O,-709.605329391,-709.6697613910001,-709.891037391,-709.6238703910001,-709.606274391
CC(N)C(C)(C)C=N,-346.371003047,-346.415862047,-346.581367047,-346.381888047,-346.371947047
CC(C)=NOC(C)(C#N)C(=O)O,-607.732399255,-607.787658255,-607.916026255,-607.746826255,-607.733343255
C=NC(C=O)=CN1CCCN1,-512.5843437650001,-512.632717765,-512.778165765,-512.595884765,-512.5852887650001
C#CNC=NC,-265.34535925399996,-265.38388025399996,-265.447613254,-265.353409254,-265.34630325399996
CNCC(CN)C(=N)C(O)CN(C)C=O,-724.171967335,-724.235345335,-724.498006335,-724.190252335,-724.172911335
C=NC=CCNN=O,-395.88455021699997,-395.928719217,-396.010625217,-395.894115217,-395.88549521699997
C=CN(CN=C)CC1COCOC1,-612.2429801129999,-612.296946113,-612.508369113,-612.2567641129999,-612.2439241129999
CC(=O)N(CCC(=O)CC1CNO1)C(C)=O,-800.81585657,-800.87681957,-801.09743957,-800.83307557,-800.81680057
C=NCC(C(=O)CN)N(N)CC=N,-624.446880912,-624.507208912,-624.699712912,-624.462929912,-624.447824912
C=C(NON=CC)C(CC#N)=C(N)C=O,-719.280806415,-719.3425614150001,-719.506977415,-719.298008415,-719.281750415
CC(=NO)NNC(=O)NN1CN1,-637.0911226640001,-637.144598664,-637.277870664,-637.1047246640001,-637.0920666640001
O=CONC(C=O)C(C=O)NC1CNCNC1,-872.177349386,-872.241810386,-872.466459386,-872.1952723859999,-872.178294386
C=CC=C(CN(C)C=O)NCC(=O)NC(C)=O,-819.089708642,-819.157939642,-819.390060642,-819.109317642,-819.090652642
C=NC(O)C(=NCOOC)NC(=O)N(C)C,-834.042308763,-834.109103763,-834.322566763,-834.061466763,-834.043252763
O,-76.4126848757,-76.43410987569999,-76.4376418757,-76.4164648757,-76.4136298757
