smi,h,f,spe
CC(=NO)C1NC1(CC1CCCNN1)NN,-758.533323,-758.595017,-758.866568
CN(C)CC(CN)=NNC1CCOCN1,-704.457763,-704.518977,-704.796499
CN(C)CC1(NNC2CCOCN2)CN1,-704.417157,-704.476957,-704.75621
COC(=O)C(N)C(CC=N)=NN,-605.288293,-605.341939,-605.500244
COC(=O)C1NC1(CC=N)NN,-605.256686,-605.309555,-605.46847
CC(=N)CC(CN)=NNNC(C)=O,-624.687292,-624.747333,-624.940498
CC(=N)CC1(NNNC(C)=O)CN1,-624.658653,-624.714974,-624.911728
NCC(CC=O)=NNC1CCCON1,-683.826117,-683.884006,-684.098198
O=CCC1(NNC2CCCON2)CN1,-683.78684,-683.8413,-684.058899
NN=C(COO)C(N)C1CCC1,-590.305041,-590.357836,-590.55153
NNC1(COO)NC1C1CCC1,-590.263087,-590.315857,-590.509941
CN(C)C(=O)CC(=NN)C(N)C1CCCOO1,-837.658078,-837.724525,-837.995322
CN(C)C(=O)CC1(NN)NC1C1CCCOO1,-837.621441,-837.685174,-837.958659
CC(=O)N(C)CC(N)=O,-456.549855,-456.597844,-456.71876
CNC(=N)C=NN,-338.091563,-338.133265,-338.225591
CN(C=N)C=NN,-338.083605,-338.125097,-338.217606
NN=CN1CCCNC1,-416.675146,-416.718779,-416.871274
CC(=O)OC(=O)CC(CON=C(C)C)=C(C)C(C)=O,-937.688262,-937.765904,-938.018494
CC(=O)OC(=O)CC(O)(CON=C(C)C)C(C)=C(C)O,-1014.129618,-1014.208533,-1014.489776
CC(=O)C(CN(C=O)C=O)=C(C)CO,-706.467104,-706.527252,-706.699747
CC(O)=C(CN(C=O)C=O)C(C)(O)CO,-782.886548,-782.94835,-783.148514
CC(=O)C(CC1NCN1)=C(C)CC(=O)NC=O,-819.312837,-819.377617,-819.613799
CC(O)=C(CC1NCN1)C(C)(O)CC(=O)NC=O,-895.749561,-895.817288,-896.079686
CC=NOCC(=O)C(CN(C)C(C)=O)=C(C)C,-804.417377,-804.486787,-804.750108
CC=NOCC(O)=C(CN(C)C(C)=O)C(C)(C)O,-880.849563,-880.917077,-881.212427
CC(=O)C(CON=C(C)C)=C(C)CC1C=CC=C1,-789.289461,-789.358584,-789.640199
CC(C)=NOCC(=C(C)O)C(C)(O)CC1C=CC=C1,-865.73212,-865.803697,-866.11235
CC(=N)CC(C(=O)CC#N)=C(C)C,-574.166355,-574.224944,-574.405627
CC(=N)CC(=C(O)CC#N)C(C)(C)O,-650.596637,-650.657146,-650.864945
CC(C)=NCC(=O)C(CC1=CON=C1)=C(C)C,-766.069778,-766.139132,-766.379825
CC(C)=NCC(O)=C(CC1=CON=C1)C(C)(C)O,-842.508943,-842.578386,-842.84853
CC(CC=N)=C(C)C(=O)CC=N,-536.036457,-536.09277,-536.270283
CC(=C(O)CC=N)C(C)(O)CC=N,-612.475851,-612.532793,-612.739293
CC(=O)C(CC1=CC=CC=C1)=C(C)C(N)(N)N,-746.246779,-746.31037,-746.572485
CC(O)=C(CC1=CC=CC=C1)C(C)(O)C(N)(N)N,-822.703254,-822.768504,-823.059565
CC(=O)CC(C)=C(CNC(C)=O)C(C)=O,-709.838872,-709.903301,-710.124579
CC(=O)CC(C)(O)C(CNC(C)=O)=C(C)O,-786.286035,-786.351154,-786.601965
CC(=O)NCC(C(C)=O)=C(C)CC1OO1,-745.660293,-745.724481,-745.921968
CC(=O)NCC(=C(C)O)C(C)(O)CC1OO1,-822.099389,-822.162232,-822.390844
CN(C=N)C=C(O)C(=N)N,-490.773737,-490.821159,-490.949377
CN(C=N)C=C(CCO)C(=N)N,-569.358379,-569.412996,-569.594052
CC(C)=NOC=C(O)C(=N)N,-549.912611,-549.965069,-550.103949
CC(C)=NOC=C(CCO)C(=N)N,-628.506863,-628.565908,-628.758332
CN=C(C)C=C(O)C(=N)N,-474.726687,-474.775674,-474.912042
CN=C(C)C=C(CCO)C(=N)N,-553.302945,-553.3587,-553.54967
CN=C(N(C)C)N(NC=N)C(O)CNC=N,-774.69501,-774.758933,-775.014876
CN=C(N(C)C)N(NCN)C(=O)CNC=N,-774.713399,-774.778123,-775.033507
N=CNN(N=O)C(O)CC1=CN=CN=C1,-751.665197,-751.722486,-751.871203
NCNN(N=O)C(=O)CC1=CN=CN=C1,-751.672012,-751.729911,-751.878154
C=NON(C=N)NC(O)CN1CCNC1,-755.157872,-755.216578,-755.434208
C=NON(CN)NC(=O)CN1CCNC1,-755.187717,-755.248529,-755.464653
N#CCC(O)N(N=O)NC=N,-580.789451,-580.838813,-580.933957
N#CCC(=O)N(N=O)NCN,-580.794379,-580.845142,-580.939411
CN(C)C(=O)CC(O)N(NC=N)N(C=O)C=O,-888.557768,-888.624509,-888.833555
CN(C)C(=O)CC(=O)N(NCN)N(C=O)C=O,-888.567981,-888.635058,-888.844008
C=CC(=C)NC(=NNC=O)NN=CC,-661.577039,-661.635412,-661.810481
C=CC(=NNC=O)NN=CC,-528.824517,-528.876051,-529.004219
C=CC(=C)NC(=NC=O)NC(=O)O,-662.169985,-662.221248,-662.349963
C=CC(=NC=O)NC(=O)O,-529.396425,-529.443805,-529.523572
C=C(C=CC1CCCCC1)NC(=N)NN(C)C=O,-802.75826,-802.826478,-803.126488
CN(C=O)NC(=N)C=CC1CCCCC1,-670.005094,-670.066595,-670.319401
C=CC(=C)NC(=NN(C)C(C)=O)NN(C)C=O,-815.443978,-815.512691,-815.742634
C=CC(=NN(C)C(C)=O)NN(C)C=O,-682.682334,-682.743726,-682.927107
CC(CC(C#N)C(O)=CC(=O)NC=O)=NO,-814.761389,-814.824141,-814.983032
CC(CC=C=CC(=O)NC=O)=NO,-646.015303,-646.074023,-646.206528
N#CC(CC(=O)OC=O)C(O)=CC1CC1,-743.344974,-743.404978,-743.560285
O=COC(=O)CC=C=CC1CC1,-574.603958,-574.657816,-574.788666
CN(C)C(=N)C=C(O)C(C#N)CC(=O)OC=O,-854.084115,-854.152471,-854.335616
CN(C)C(=N)C=C=CCC(=O)OC=O,-685.335323,-685.395083,-685.556087
CN=NC=C(O)C(C#N)CC(=O)N(C)C,-720.789727,-720.85455,-721.041172
CN=NC=C=CCC(=O)N(C)C,-552.030618,-552.087362,-552.251299
CNCC(C#N)C(O)=CON=C(C)C,-666.59635,-666.658919,-666.853282
CNCC=C=CON=C(C)C,-497.843818,-497.899504,-498.069759
CC(C)=NOC=C(O)C(C#N)CC1CNCNC1,-838.6576,-838.726412,-839.000816
CC(C)=NOC=C=CCC1CNCNC1,-669.911849,-669.972607,-670.224406
CN=C(C)CC(C#N)C(O)=CNC=O,-665.468609,-665.529313,-665.702631
CN=C(C)CC=C=CNC=O,-496.725705,-496.780425,-496.928899
N#CC(CO)C(O)=CC1=CC=CC=C1,-630.983267,-631.036947,-631.196259
OCC=C=CC1=CC=CC=C1,-462.23834,-462.286852,-462.420035
N#CC(CC1=CNN=C1)C(O)=CC1=COC=N1,-794.655314,-794.715017,-794.875398
C(=CCC1=CNN=C1)=CC1=COC=N1,-625.896518,-625.949301,-626.085817
N#CC(CC1C=CC=C1)C(O)=CC1COCCO1,-824.057377,-824.121245,-824.364613
C(=CCC1C=CC=C1)=CC1COCCO1,-655.314801,-655.370615,-655.591655
N#CC(CC1=CN=CN1)C(O)=CC1=CC=NO1,-794.635861,-794.695495,-794.855222
C(=CCC1=CN=CN1)=CC1=CC=NO1,-625.885577,-625.937829,-626.074292
N#CC(CC1NCN1)C(O)=CC1=CN=CN1,-737.818662,-737.875993,-738.069431
C(=CCC1NCN1)=CC1=CN=CN1,-569.077676,-569.128809,-569.297623
N#CC(CC1NCN1)C(O)=CC1NCCCN1,-779.482995,-779.544202,-779.812031
C(=CCC1NCN1)=CC1NCCCN1,-610.728342,-610.783248,-611.026403
CCC(=O)OC(=O)OC=O,-570.375163,-570.423961,-570.499737
CC(=O)OC(=O)ONC(=O)OC(=O)OC=O,-963.612519,-963.677301,-963.759053
CC(=O)N(OC(=O)CCC(C)=NO)C(C)=O,-837.021158,-837.087221,-837.275587
CC(=O)N(OC(=O)NO)C(C)=O,-681.004326,-681.058477,-681.163874
CC(CCC=O)=NO,-401.096918,-401.142074,-401.245757
O=CN(C=O)CCC(=O)OC1=CC=NC=N1,-813.644796,-813.704255,-813.844871
O=C(NO)OC1=CC=NC=N1,-583.509872,-583.555786,-583.631678
O=CCCN(C=O)C=O,-475.223294,-475.268202,-475.355464
CCC(=O)OC(=O)NC=O,-550.502418,-550.551638,-550.640144
CNC(=N)ONC(=O)OC(=O)NC=O,-790.576861,-790.636979,-790.750664
CCC(=O)ONC=N,-417.166418,-417.212368,-417.304726
O=CNOC1CCCNO1,-531.64925,-531.694425,-531.824723
N=CNOC(=O)NOC1CCCNO1,-755.665106,-755.71915,-755.888173
C=NOOC(=O)CCC1OCCO1,-704.143243,-704.199123,-704.34511
C=NOOC(=O)NO,-488.912658,-488.956356,-489.000412
O=CCCC1OCCO1,-460.314548,-460.358075,-460.48329
O=CNOC1CCONC1,-531.642459,-531.686983,-531.817707
CN(C)OC(=O)NOC1CCONC1,-740.787596,-740.843983,-741.045122
CCC(=O)OC=NC,-401.153108,-401.198887,-401.302609
N#CONC=O,-337.328283,-337.365174,-337.382845
CN=COC(=O)NOC#N,-545.338047,-545.386022,-545.451463
CC(=O)OONC=O,-472.938197,-472.98257,-473.037704
CCC(=O)OC1COCCN1,-555.000777,-555.050283,-555.218995
CC(=O)OONC(=O)OC1COCCN1,-834.799245,-834.860655,-835.025936
O=CCCC(=O)OO,-456.913603,-456.957082,-457.025999
O=C(NO)OO,-395.510409,-395.547747,-395.576001
O=CCCC=O,-306.483721,-306.522839,-306.584968
O=CNCCC(=O)OC1CCCCC1,-671.750978,-671.80849,-672.035602
O=C(NO)OC1CCCCC1,-554.975169,-555.02415,-555.193041
O=CCCNC=O,-361.863181,-361.904336,-361.984206
CCC(=O)ONC(C)=O,-476.383557,-476.432238,-476.538837
O=CNOC1=CN=CC=N1,-508.240912,-508.284316,-508.356676
CC(=O)NOC(=O)NOC1=CN=CC=N1,-791.4782,-791.536799,-791.658326
CCC(=O)OC1C=CC=C1,-461.29123,-461.338693,-461.465406
O=CNOC1=NOC=C1,-489.964366,-490.006159,-490.060912
O=C(NOC1=NOC=C1)OC1C=CC=C1,-758.111028,-758.166443,-758.291246
C=NCC(CC=O)OC(=O)NC=O,-683.221254,-683.278,-683.412595
C=NCC(OC(=O)NC=O)C(C)=O,-683.232824,-683.290332,-683.423767
C=NOOC(CC=O)C(O)(O)O,-701.992883,-702.044885,-702.162402
C=NOOC(C(C)=O)C(O)(O)O,-701.998955,-702.052369,-702.167612
CN=C(C)CC(CC=O)OOC=O,-668.24936,-668.308438,-668.473402
CN=C(C)CC(OOC=O)C(C)=O,-668.256086,-668.314732,-668.479653
N=CCC(CC=O)OC1=CNN=C1,-626.136023,-626.190207,-626.341054
CC(=O)C(CC=N)OC1=CNN=C1,-626.14442,-626.199604,-626.349467
O=CCC(COO)OC(=O)NC=O,-740.185528,-740.241077,-740.363919
CC(=O)C(COO)OC(=O)NC=O,-740.189845,-740.246821,-740.367594
CC(=O)CC(CC=O)OC1CCOOC1,-766.733395,-766.794661,-767.006696
CC(=O)CC(OC1CCOOC1)C(C)=O,-766.743281,-766.80479,-767.016301
CC(=O)N(C)OC(CC=O)CNC=O,-723.686393,-723.745942,-723.930815
CC(=O)C(CNC=O)ON(C)C(C)=O,-723.683572,-723.745792,-723.927436
C=CC=C(C)CC(C)=N,-367.331414,-367.379355,-367.535055
C=C(C=CC)CC(C)=N,-367.330911,-367.378651,-367.534375
C=CC=C(C)CC=NO,-403.228224,-403.275445,-403.40776
C=C(C=CC)CC=NO,-403.229687,-403.276307,-403.409224
C=CC=C(C)CC#N,-326.841213,-326.885461,-326.991732
C=C(C=CC)CC#N,-326.835059,-326.879039,-326.985609
C=CC=C(C)CN=N,-344.043113,-344.08784,-344.205215
C=C(C=CC)CN=N,-344.042569,-344.086974,-344.204545
C=CC=C(C)CC(=O)NC,-442.606901,-442.659989,-442.816983
C=C(C=CC)CC(=O)NC,-442.608049,-442.659898,-442.818217
C=CC=C(C)CC(=O)OC(C)=O,-575.860376,-575.91777,-576.06827
C=C(C=CC)CC(=O)OC(C)=O,-575.860796,-575.917671,-576.068492
C=CC=C(C)CN=CN,-383.386203,-383.434522,-383.578562
C=C(C=CC)CN=CN,-383.380069,-383.427283,-383.572648
C=CC=C(C)COC,-349.097734,-349.14383,-349.283013
C=C(C=CC)COC,-349.097364,-349.142675,-349.28267
C=CC=C(C)CC1=NC=CC=N1,-497.72888,-497.77962,-497.940682
C=C(C=CC)CC1=NC=CC=N1,-497.721729,-497.772821,-497.93352
C=CC=C(C)CC1=CC=NN=C1,-497.690303,-497.742601,-497.901246
C=C(C=CC)CC1=CC=NN=C1,-497.684728,-497.737318,-497.895624
CN=C(ONN(O)C(=N)N(C)C)N(C)C,-756.373921,-756.438832,-756.671373
CN(C=N)CNCNC=N,-472.064234,-472.113027,-472.277764
C=C(C)N(CNC=N)CN(C)C=N,-588.749647,-588.806865,-589.027563
C=C(C)N(COOC)CC(=N)N,-590.343732,-590.398075,-590.588742
CN=C(CC(C)=CC1CCOO1)N(C)C,-690.967573,-691.029134,-691.289643
CN=C(CC(=CC1CCOO1)N(C)C)N(C)C,-785.612885,-785.682243,-785.983367
CC(C)=CON=C(C)C,-404.43956,-404.490262,-404.640791
CNC(O)(O)O,-360.889446,-360.927831,-361.003661
CC(=CON=C(C)C)N(C)C(O)(O)O,-724.838138,-724.899591,-725.10359
C=NOCC(=C)C,-325.816497,-325.858812,-325.959249
CNCC1=CN=CN1,-360.170816,-360.211835,-360.324424
C=NOCC(=C)N(C)CC1=CN=CN1,-645.508622,-645.564143,-645.755654
CC(C)=CC1NCCCN1,-423.883967,-423.931825,-424.131868
CC(=CC1NCCCN1)N(C)CC=NO,-687.176813,-687.237058,-687.501798
C=C(C)CC1CNO1,-365.090479,-365.134239,-365.26469
C=C(CC1CNO1)N(C)CC=NO,-628.383143,-628.437836,-628.634387
NC(N)(N)NCNC=O,-469.942024,-469.986912,-470.125891
C=C(C)N(CNC=O)C(N)(N)N,-586.624811,-586.678608,-586.872669
CC(C)=CN(C)C=O,-365.201261,-365.246404,-365.374957
CC(=CN(C)C=O)N(C)CC=N,-553.290789,-553.346835,-553.536668
C=C(C)COC(C)=O,-385.095102,-385.141304,-385.256262
C=C(COC(C)=O)N(C)CN(C=O)C(C)=O,-801.134212,-801.198588,-801.414759
CC(C)=CC1CNN1,-345.21546,-345.260122,-345.402229
CC(=CC1CNN1)N(C)CN(C)C,-573.803463,-573.861901,-574.116429
CC(C)=CO,-232.421732,-232.458649,-232.541622
CC(=CO)N(C)COC=O,-515.679308,-515.729178,-515.865163
C=C(C)COC,-271.701489,-271.741444,-271.85108
C=C(COC)N(C)CC(=O)O,-554.974673,-555.026167,-555.190415
CC(C)=CC1C=CC=C1,-350.070944,-350.11602,-350.262889
CNCC1C=CC=C1,-328.016255,-328.058031,-328.191814
CC(=CC1C=CC=C1)N(C)CC1C=CC=C1,-637.600639,-637.659942,-637.918444
C=CC(=N)C(CNC(=N)NC)CC1=CON=C1,-778.290673,-778.356548,-778.593056
C=CC(CC1=CON=C1)C(=N)CNC(=N)NC,-778.289978,-778.354236,-778.592465
C=NOC=CC(=N)C(C)CNC=NO,-682.59304,-682.655703,-682.838228
C=NOC=CC(C)C(=N)CNC=NO,-682.587822,-682.646357,-682.832915
CC(C)=NOC=CC(=N)C(CN)C(N)(N)N,-758.621187,-758.689052,-758.952139
CC(C)=NOC=CC(C(=N)CN)C(N)(N)N,-758.616886,-758.685341,-758.94743
CN(C)C(=O)C=CC(=N)C(CN)CC#N,-684.879853,-684.944333,-685.157862
CN(C)C(=O)C=CC(CC#N)C(=N)CN,-684.880098,-684.946323,-685.157429
C=CC(=N)C(CNN(C)C(C)=O)CC1COCN1,-839.869134,-839.939196,-840.236935
C=CC(CC1COCN1)C(=N)CNN(C)C(C)=O,-839.865109,-839.935252,-840.232829
CC=C(C=O)OC=NO,-475.110431,-475.157228,-475.240351
C=CC(=CO)OC=NO,-475.107949,-475.152609,-475.239083
CC=C(C=O)OC(=O)NC,-514.509051,-514.561328,-514.670417
C=CC(=CO)OC(=O)NC,-514.501851,-514.552483,-514.66413
CC=C(C=O)OC1=NC=CC=N1,-569.625012,-569.674705,-569.787836
C=CC(=CO)OC1=NC=CC=N1,-569.615204,-569.662995,-569.778701
CC(=O)N(C#CC(=O)OC=O)CC=O,-739.979746,-740.040081,-740.139568
CC(=O)N(CC=O)OCC#CC(=O)OC=O,-854.46857,-854.53292,-854.662781
CC(=O)OC(=O)C#CN(CN1C=CN=C1)C(C)=O,-890.994084,-891.060996,-891.228146
CC(=O)OC(=O)C#CCON(CN1C=CN=C1)C(C)=O,-1005.478351,-1005.549586,-1005.746798
CN=C(CN(C#CN(C)C=N)C(C)=O)N(C)C,-779.470672,-779.543531,-779.793869
CN=C(CN(OCC#CN(C)C=N)C(C)=O)N(C)C,-893.951637,-894.025232,-894.309956
C=NOC#CN(CC(C)=NO)C(C)=O,-701.247305,-701.310863,-701.453822
C=NOC#CCON(CC(C)=NO)C(C)=O,-815.738459,-815.805086,-815.979826
CN=C(C)CN(C#CN(C)C)C(C)=O,-630.656857,-630.723403,-630.937021
CN=C(C)CN(OCC#CN(C)C)C(C)=O,-745.141819,-745.214567,-745.456742
CC(=O)N(C#CN1CN1)C(O)O,-623.901824,-623.956231,-624.075763
CC(=O)N(OCC#CN1CN1)C(O)O,-738.381908,-738.441143,-738.59032
CC(=O)N(C#CC(=O)N(C)C)CN1CCCOC1,-858.586267,-858.655706,-858.917391
CC(=O)N(CN1CCCOC1)OCC#CC(=O)N(C)C,-973.066558,-973.142974,-973.432405
CC(=O)N(C#CC1=CON=C1)CC1=COC=N1,-814.464229,-814.52746,-814.670028
CC(=O)N(CC1=COC=N1)OCC#CC1=CON=C1,-928.961544,-929.026893,-929.201964
NC1=CC(=CC(=O)OC=O)CC=C1NC1=CC=CN=N1,-947.321995,-947.388555,-947.581881
C=CC(NC1=CC=CN=N1)=C(N)C=C=CC(=O)OC=O,-947.269315,-947.337183,-947.527423
C=NOC=C1C=C(N)C(NC2=NOC=C2)=CC1,-795.729647,-795.790772,-795.970704
C=CC(NC1=NOC=C1)=C(N)C=C=CON=C,-795.677552,-795.741372,-795.916569
CN=C(C)C=C1C=C(N)C(NC(C)=NC)=CC1,-726.315587,-726.382667,-726.651202
C=CC(NC(C)=NC)=C(N)C=C=CC(C)=NC,-726.277941,-726.349701,-726.611675
C=C1C=C(NC=N)C(NC2COCN2)=CC1,-722.94612,-723.004708,-723.231884
C=C=CC(NC=N)=C(C=C)NC1COCN1,-722.90363,-722.965317,-723.187162
CC(=O)OC=C1C=C(N)C(NN(C)C=O)=CC1,-818.116586,-818.182706,-818.393241
C=CC(NN(C)C=O)=C(N)C=C=COC(C)=O,-818.067835,-818.136088,-818.342386
C=C1C=C(NOC)C(NC2CCON2)=CC1,-743.920433,-743.980156,-744.215304
C=C=CC(NOC)=C(C=C)NC1CCON1,-743.875179,-743.938792,-744.168451
NC1=CCC(=COO)C=C1NN=C=O,-700.090243,-700.147146,-700.276439
C=CC(N)=C(C=C=COO)NN=C=O,-700.03846,-700.097311,-700.221779
NC1=CC(=CC2=CN=CN=C2)CC=C1NC1CCCNN1,-912.044702,-912.110776,-912.411327
C=CC(NC1CCCNN1)=C(N)C=C=CC1=CN=CN=C1,-912.000397,-912.072186,-912.36428
C=C1C=C(NC2CCOOC2)C(NC2CNCNC2)=CC1,-955.305123,-955.372833,-955.717104
C=C=CC(NC1CCOOC1)=C(C=C)NC1CNCNC1,-955.256693,-955.32997,-955.666282
NC1=CCC(=CN2CCCO2)C=C1NN1CCCOC1,-916.009312,-916.076828,-916.389897
C=CC(N)=C(C=C=CN1CCCO1)NN1CCCOC1,-915.959103,-916.02925,-916.338328
CC(=O)NC(=O)N=C(CN)C(=O)NC(=O)NC=O,-961.541072,-961.611251,-961.776587
C=C=NC(=O)NC(C)=O,-454.124693,-454.171879,-454.244171
NC(=O)NC(=O)NC=O,-507.412259,-507.455879,-507.523064
CC(=O)NC(=O)C(CN)=NC(=O)NC=O,-792.797788,-792.860722,-793.003146
C=C=NC(=O)NC=O,-414.813827,-414.856442,-414.90398
CC(=O)NC(N)=O,-377.976957,-378.015731,-378.08587
N=NN=C(CN)C(=O)NNC=O,-636.172762,-636.227287,-636.335281
CNC(=N)N=C(CN)C(=O)NC1CNCNC1,-812.858639,-812.924091,-813.188338
C=C=NC(=N)NC,-320.839023,-320.882203,-320.959399
CNNC(=O)C(CN)=NON=C(C)C,-699.860486,-699.924068,-700.117584
CNNC(N)=O,-319.90645,-319.94577,-320.022946
CC(C)=NON=C(CN)C(=O)NC1CCOO1,-872.34739,-872.416183,-872.633499
NC(=O)NC1CCOO1,-492.394459,-492.438595,-492.540088
COC(=O)NC(=O)C(CN)=NC(=O)OC=O,-887.917759,-887.983346,-888.11545
CN=CNC(=O)C(CN)=NC1=CC=NN1,-715.81017,-715.867804,-716.041312
C=C=NC1=CC=NN1,-357.741998,-357.781262,-357.845914
CN=CNC(N)=O,-358.047304,-358.088434,-358.16922
CC(=O)NC(=O)N=C(CN)C(=O)NC1CCCON1,-965.995641,-966.066391,-966.310089
NC(=O)NC1CCCON1,-511.84431,-511.889518,-512.033957
CC(=O)N(C=O)NC(=O)C(CN)=NN(C=O)C=O,-961.43328,-961.502693,-961.665582
CC(=O)N(C=O)NC(N)=O,-546.655012,-546.703162,-546.793741
CC(=O)NC(=O)NC(=O)C(CN)=NN(C)C=N,-867.531134,-867.599841,-867.796705
C=C=NN(C)C=N,-320.800796,-320.841589,-320.920813
CC(=O)NC(=O)NC(N)=O,-546.704951,-546.753129,-546.844851
CC(=N)CC(NC(=O)NC=O)C(=O)NN(C)C,-852.667586,-852.735864,-852.96837
C=CNC(=O)NC=O,-416.052476,-416.094106,-416.168435
CC(=N)C(=O)NN(C)C,-436.589054,-436.636741,-436.76943
CN(C)C(=N)NC(=O)C(N)CC(=N)C(O)(O)O,-889.807708,-889.874186,-890.108194
CN(C)C(=N)NC(=O)C(=N)C(O)(O)O,-755.843282,-755.902053,-756.065357
CN=CN(C)NC(CC(C)=N)C(=O)NO,-739.204094,-739.267573,-739.491117
C=CNN(C)C=NC,-361.302283,-361.348368,-361.476302
CC(=N)C(=O)NO,-377.862597,-377.902477,-377.970046
CNN=C(C)CC(N)C(=O)NN=C(C)C,-703.295351,-703.35986,-703.606786
CNN=C(C)C(=O)NN=C(C)C,-569.324797,-569.380039,-569.557862
CC(=N)CC(NC1CCCNN1)C(=O)N(N)N,-813.965434,-814.030824,-814.317679
C=CNC1CCCNN1,-400.610021,-400.653772,-400.817347
CC(=N)C(=O)N(N)N,-413.319549,-413.364472,-413.459569
CC=NON=CN,-357.898437,-357.939801,-358.017677
CC=NONC=N,-357.898437,-357.939801,-358.017677
CNC(=O)ON=CN,-433.230273,-433.27533,-433.357745
CNC(=O)ONC=N,-433.230273,-433.27533,-433.357745
NC=NOC(=O)O,-413.831742,-413.872457,-413.916708
N=CNOC(=O)O,-413.831742,-413.872457,-413.916708
NC=NOC1=COC=N1,-470.109162,-470.152043,-470.218748
N=CNOC1=COC=N1,-470.109162,-470.152043,-470.218748
CC(=O)N(C=O)C=CC(=N)CC=CC1=CON=C1,-855.002642,-855.069653,-855.260758
CC(=O)N(C=O)C=CCC(=N)C=CC1=CON=C1,-854.995539,-855.061656,-855.253444
C=CC(CC=CN(C)C=NC)=NON=C(C)C,-763.349776,-763.421329,-763.681878
C=CCC(C=CN(C)C=NC)=NON=C(C)C,-763.343936,-763.417626,-763.675725
C=CC(CC=COC)=NC1=CON=C1,-648.126498,-648.182333,-648.348622
C=CCC(C=COC)=NC1=CON=C1,-648.129944,-648.185647,-648.352145
C=C=CN(C(=O)OC(C)=O)C(CC(=O)N(C)C)=C(C)C,-955.924281,-956.000748,-956.274369
C=CC1N(C(=O)OC(C)=O)C1(CC(=O)N(C)C)C(=C)C,-955.914565,-955.989247,-956.265267
C=C=CN(C(=O)NC(C)=O)C(CC1=NOC=C1)=C(C)C,-933.596684,-933.671421,-933.912022
C=CC1N(C(=O)NC(C)=O)C1(CC1=NOC=C1)C(=C)C,-933.595007,-933.667568,-933.911654
CC(=O)N(CC(O)C(C)C(=N)CNC=NO)C(C)=O,-951.111644,-951.179427,-951.459896
CC(=O)N(CC(O)C(=N)C(C)CNC=NO)C(C)=O,-951.105726,-951.177784,-951.453748
CC(O)C(CC1=CC=NO1)C(CN)=NC(=O)NC=O,-948.736542,-948.805493,-949.037741
CC(O)C(=NC(=O)NC=O)C(CN)CC1=CC=NO1,-948.730764,-948.798625,-949.03214
CC(OC1CCCCC1)C(C)C(CN)=NN(C=O)C=O,-938.406145,-938.477623,-938.820418
CC(CN)C(=NN(C=O)C=O)C(C)OC1CCCCC1,-938.400375,-938.473449,-938.814475
CN=CNCC(O)C(C)C(CN)=NN(C)C=NC,-837.217781,-837.290034,-837.607574
CN=CNCC(O)C(=NN(C)C=NC)C(C)CN,-837.229218,-837.300927,-837.619274
CN=C(NCC(=N)C(CC=NO)C(C)O)N(C)C,-857.106929,-857.177596,-857.483512
CN=C(NCC(CC=NO)C(=N)C(C)O)N(C)C,-857.104445,-857.174409,-857.48143
CNC(=O)OC(C)C(C)C(CN)=NC(N)=O,-798.535853,-798.600848,-798.843138
CNC(=O)OC(C)C(=NC(N)=O)C(C)CN,-798.531039,-798.598875,-798.838413
CC(O)C(CNC=O)C(=N)CNC1=CN=CN=C1,-853.631809,-853.696281,-853.941325
CC(O)C(=N)C(CNC=O)CNC1=CN=CN=C1,-853.62968,-853.693583,-853.939563
CC(ON(C=O)C=O)C(CC(=O)NC=O)C(=N)CN,-985.860088,-985.929798,-986.159216
CC(ON(C=O)C=O)C(=N)C(CN)CC(=O)NC=O,-985.865862,-985.934319,-986.165231
C=CC(C)(N)N=CC,-345.279578,-345.32399,-345.464758
C#CC(C)(N)N=CC,-344.045596,-344.090018,-344.206666
C=CC(C)(N)NC=NC,-400.641101,-400.688054,-400.845278
C#CC(C)(N)NC=NC,-399.40514,-399.452738,-399.585022
CC(=O)N(C)NC(=O)C=CN(C=O)C=O,-776.682392,-776.74564,-776.897352
C=CC=CN(C=O)C=O,-438.055064,-438.099939,-438.187249
C=CC(=O)NOOC,-436.950124,-436.994193,-437.073976
C=CC1C=CC=C1,-271.463682,-271.501226,-271.59672
C=CC=CC1C=CC=C1,-348.859746,-348.903239,-349.028619
CC(=O)N(OC=O)C(C)=O,-550.440481,-550.488451,-550.576528
CC(=O)N(OC(OC=O)C(=O)CC=O)C(C)=O,-930.982243,-931.048421,-931.205811
O=COC1OO1,-378.273188,-378.307159,-378.325553
O=COC(OC1OO1)C(=O)CC=NO,-814.128757,-814.185791,-814.287394
C=NOOC=O,-358.357334,-358.39644,-358.420693
C=NOCC(=O)C(OC=O)OON=C,-794.194249,-794.25481,-794.362097
CC=NOOC(OC=O)C(=O)CC#N,-757.122921,-757.183797,-757.293235
CC(=O)N(OC(OC=O)C(=O)CN(C)C)C(C)=O,-951.572145,-951.642171,-951.862038
O=COC1=NOC=C1,-434.663241,-434.70259,-434.742526
CC(=N)CC(=O)C(OC=O)OC1=NOC=C1,-834.617979,-834.677849,-834.826849
CC(=O)NCC(=O)C(OC=O)OC(N)=O,-833.779507,-833.841036,-833.983205
CN(C)C(=O)OC=O,-437.119257,-437.163819,-437.245696
CN(C)C(=O)OC(OC=O)C(=O)CC1=CN=CN=C1,-967.476451,-967.544922,-967.741091
C=NC(C=O)=CN(C=O)C(C)=O,-606.759375,-606.81146,-606.919722
