smi,h,f,spe
CN=C(N)ON=C(C)C=NNN(C(C)=O)C(C)=O,-906.732521,-906.805902,-907.023116
CN=C(N)ON1C(C)=CN1NN(C(C)=O)C(C)=O,-906.653163,-906.722061,-906.942762
CC(C)=NC=CCCN=O,-458.563921,-458.615356,-458.759777
O=NCCC=CC(=O)O,-475.137627,-475.184224,-475.269021
CC(=O)NC=CCCN=O,-494.546252,-494.598298,-494.719273
O=NCCC=CC1=CC=NN=C1,-549.626498,-549.679715,-549.800747
O=NCCC=CC1COOC1,-553.603408,-553.65495,-553.793832
CC(=O)NC(=O)C=CCCN=O,-607.918225,-607.975144,-608.103104
CN(C)C(=N)C=CCCN=O,-513.912902,-513.966461,-514.127809
CC(C=CCCN=O)=NO,-494.471719,-494.521962,-494.644017
N=C(N)C=CCCN=O,-435.333324,-435.381202,-435.489186
O=NCCC=C(O)O,-437.008458,-437.050659,-437.133369
O=C=NC=CCCN=O,-454.0398,-454.086783,-454.159809
O=NCCC=CC1=CC=NC=N1,-549.665221,-549.714728,-549.84071
O=NCCC=CC1CCNCO1,-573.102225,-573.155001,-573.33691
CC(=O)OC(=O)C=CCCN=O,-627.796287,-627.853033,-627.967594
CN=C(C=CCCN=O)N(C)C,-553.191254,-553.246757,-553.435345
C=NOC=CCCN=O,-455.149806,-455.198413,-455.291582
N#CC=CCCN=O,-378.776814,-378.820459,-378.890782
O=CNC=CCCN=O,-455.236375,-455.283596,-455.380074
CC=NOC=CCCN=O,-494.456395,-494.508535,-494.627795
O=NCCC=CC1=COC=N1,-531.429407,-531.478444,-531.585622
O=NCCC=CN1CCOC1,-533.789511,-533.841368,-533.993799
C=NC=CCCN=O,-379.951284,-379.995664,-380.08784
CC(=O)N(C)C=CCCN=O,-533.834915,-533.889228,-534.037818
O=NCCC=CC1=NC=CN1,-511.557224,-511.606741,-511.726184
O=CN(C=O)C=CCCN=O,-568.59121,-568.642422,-568.745987
NC=NC=CCCN=O,-435.327962,-435.375737,-435.483985
CC(=O)OC(=O)ON=CC=N,-604.570683,-604.624065,-604.701176
CC(=O)OC(=O)ON1C=CN1,-604.498026,-604.547978,-604.627642
N=CC=NOC=N,-356.746297,-356.786008,-356.843067
N=CON1C=CN1,-356.660413,-356.698373,-356.756178
COC(=O)ON=CC=N,-491.200653,-491.24716,-491.320708
COC(=O)ON1C=CN1,-491.12444,-491.168441,-491.243598
N=CC=NOC1=NC=CO1,-508.184678,-508.230177,-508.299463
C1=COC(ON2C=CN2)=N1,-508.118605,-508.161254,-508.23273
N=CC=NOC1CNCCO1,-549.871337,-549.919048,-550.065087
C1=CN(OC2CNCCO2)N1,-549.802984,-549.848775,-549.99625
N=CC=NON=CN,-412.05907,-412.102834,-412.172949
NC=NON1C=CN1,-411.986774,-412.028953,-412.100185
N=CC=NON=O,-392.613325,-392.653609,-392.684197
O=NON1C=CN1,-392.542755,-392.580672,-392.612718
N#CON=CC=N,-355.519824,-355.559216,-355.59206
N#CON1C=CN1,-355.454418,-355.491894,-355.526234
CC(=O)ON=CC=N,-415.959972,-416.004731,-416.073291
CC(=O)ON1C=CN1,-415.883633,-415.925565,-415.996384
CN(C=O)ON=CC=N,-471.256104,-471.303005,-471.386939
CN(C=O)ON1C=CN1,-471.18436,-471.228826,-471.314704
N=CC=NOC1=CC=NO1,-508.154969,-508.200223,-508.269554
C1=NOC(ON2C=CN2)=C1,-508.082274,-508.125103,-508.195846
N=CC=NOC1NO1,-431.904791,-431.946663,-432.006351
C1=CN(OC2NO2)N1,-431.830759,-431.870072,-431.932038
N=CC=NOC(=O)OC=O,-565.262911,-565.311159,-565.364035
O=COC(=O)ON1C=CN1,-565.184521,-565.23026,-565.28488
CC(=NO)ON=CC=N,-471.236533,-471.284061,-471.367186
CC(=NO)ON1C=CN1,-471.166698,-471.211551,-471.296679
CN(C)ON=CC=N,-397.186164,-397.230139,-397.334799
CN(C)ON1C=CN1,-397.111042,-397.153148,-397.259072
N=CC=NON=C=O,-430.742578,-430.785209,-430.820144
O=C=NON1C=CN1,-430.677247,-430.71827,-430.753965
N=CC=NOC=NO,-431.938156,-431.981107,-432.039991
ON=CON1C=CN1,-431.854287,-431.89554,-431.954938
N=CC=NOC1=NC=CN1,-488.315366,-488.358088,-488.442057
C1=CNC(ON2C=CN2)=N1,-488.249405,-488.291764,-488.376531
N=CC=NOC1NCCCN1,-530.002083,-530.05082,-530.209102
C1=CN(OC2NCCCN2)N1,-529.921881,-529.967865,-530.128059
CN=C(C)ON=CC=N,-435.343316,-435.391253,-435.498259
CN=C(C)ON1C=CN1,-435.260505,-435.307247,-435.414694
N=CC=NOC=O,-376.644605,-376.684881,-376.728862
O=CON1C=CN1,-376.571568,-376.609098,-376.654953
CC(=O)N(C)ON=CC=N,-510.561985,-510.611648,-510.722318
CC(=O)N(C)ON1C=CN1,-510.492449,-510.540495,-510.652126
N=CC=NOC1=CC=NN1,-488.302051,-488.347662,-488.429835
C1=NNC(ON2C=CN2)=C1,-488.228368,-488.270556,-488.355527
N=CC=NOC1COCCO1,-569.750131,-569.797815,-569.930617
C1=CN(OC2COCCO2)N1,-569.680432,-569.725801,-569.86041
N=CC=NON(C=O)C=O,-545.309304,-545.35771,-545.421417
O=CN(C=O)ON1C=CN1,-545.241261,-545.28642,-545.353004
CC(=O)N(C=O)ON(CC(O)O)OCC(=O)OC=O,-1098.643176,-1098.714975,-1098.889312
C=NON(C=O)C(C)=O,-491.171338,-491.216973,-491.288926
O=CO,-189.802288,-189.830476,-189.84009
O=COC(=O)CO,-417.694753,-417.735695,-417.778388
C=NCON(CC(O)O)OC(=O)OC=O,-870.743501,-870.804242,-870.943975
C=NCO,-209.164872,-209.196948,-209.244038
C=NOC(=O)OC=O,-471.806482,-471.850321,-471.883137
CON(CC(O)OC1=NC=CN1)ON(C=O)C=O,-982.394065,-982.458158,-982.637565
C=NON(C=O)C=O,-451.855512,-451.897338,-451.943457
CO,-115.716823,-115.743847,-115.772108
O=COC1=NC=CN1,-414.832012,-414.870384,-414.924633
CON(CC(O)OOC=O)ON=N,-773.288869,-773.345834,-773.463018
C=NON=N,-279.277146,-279.309879,-279.335341
O=COOC=O,-378.311963,-378.348228,-378.364815
CN=CNCON(CC(O)O)OC(=N)N(C)C,-890.847065,-890.915438,-891.169737
C=NOC(=N)N(C)C,-397.236072,-397.28087,-397.385499
CN=CNCO,-303.840111,-303.878547,-303.968003
CN=NOC(O)CN(OC)OC1=NOC=C1,-868.933134,-868.994287,-869.163175
C=NOC1=NOC=C1,-414.691533,-414.731258,-414.7814
CN=NOC=O,-338.543913,-338.583686,-338.620116
C=NOON(CC(O)O)OCC(=O)NC,-851.946494,-852.01202,-852.181598
C=NOON=C,-338.408209,-338.446081,-338.482962
CNC(=O)CO,-323.755506,-323.797202,-323.870775
CON(CC(O)OC(C)=NO)OOO,-833.614395,-833.675863,-833.830461
C=NOOO,-320.157464,-320.192646,-320.214612
CC(=NO)OC=O,-397.750864,-397.791885,-397.846435
CC(C)=NOCON(CC(O)O)OC1=CC=NN=C1,-985.704138,-985.772885,-986.000658
C=NOC1=CC=NN=C1,-432.944365,-432.985614,-433.053096
CC(C)=NOCO,-362.989551,-363.03237,-363.132884
CN=C(C)CON(CC(O)O)OOO,-797.711521,-797.770567,-797.951619
CN=C(C)CO,-287.776411,-287.816748,-287.914065
CC=NCON(O)CC(O)ONC=O,-776.740629,-776.800651,-776.971339
C=NO,-169.825029,-169.853715,-169.873279
CC=NCO,-248.474563,-248.510592,-248.583128
O=CNOC=O,-358.457868,-358.49527,-358.524112
CN=COC(O)CN(OC)ONC=O,-776.737715,-776.799689,-776.967973
C=NONC=O,-338.494501,-338.531863,-338.571389
CN=COC=O,-322.539603,-322.577699,-322.629953
NC(N)(N)ON(CC(O)O)OC1=NC=CO1,-886.323606,-886.382313,-886.569891
C=NOC1=NC=CO1,-414.729543,-414.770105,-414.819984
NC(N)(N)O,-281.810006,-281.845388,-281.920663
CON(CC(O)OC(N)=O)OOO,-794.404156,-794.461822,-794.592092
NC(=O)OC=O,-358.537581,-358.574291,-358.604865
COC(=O)OC(O)CN(OC)OC1=COC=N1,-948.135371,-948.199866,-948.37299
C=NOC1=COC=N1,-414.727954,-414.767021,-414.818347
COC(=O)OC=O,-417.703154,-417.743805,-417.787494
COOON(CC(O)ON1CCO1)OC,-872.820067,-872.88461,-873.064869
C=NOOOC,-359.448562,-359.487705,-359.534765
O=CON1CCO1,-397.659877,-397.697296,-397.755302
COCON(CC(O)O)OC(=O)O,-778.480707,-778.536909,-778.682418
C=NOC(=O)O,-358.459233,-358.496163,-358.525337
COCO,-230.256745,-230.290171,-230.347912
CN(C=O)OC(O)CN(O)OCN(C=O)C=O,-965.366338,-965.434585,-965.61465
CN(C=O)OC=O,-397.756177,-397.796285,-397.851844
O=CN(C=O)CO,-397.815569,-397.854635,-397.913101
CC(=O)NCON(O)CC(O)OC1CCNNC1,-950.049684,-950.114383,-950.393114
CC(=O)NCO,-323.764949,-323.804237,-323.880689
O=COC1CCNNC1,-456.476284,-456.518659,-456.647589
OC(O)CN(OCC1=CC=NO1)OC1=CN=CN=C1,-983.344551,-983.409625,-983.596398
C=NOC1=CN=CN=C1,-432.975129,-433.017481,-433.084652
OCC1=CC=NO1,-360.602493,-360.640148,-360.700198
O=CCC(=CC1COOC1)OON(C=O)C=O,-930.757525,-930.821585,-930.979841
C=C=CC1COOC1,-383.744582,-383.786281,-383.881964
O=COON(C=O)C=O,-546.978052,-547.023179,-547.058462
CC(C=C(CC=O)OOC(=N)N(C)C)=NO,-817.001224,-817.067647,-817.267147
C=C=CC(C)=NO,-324.615952,-324.656856,-324.73487
CN(C)C(=N)OOC=O,-492.361179,-492.408362,-492.503923
CC=NOC=C(CC=O)OOC(N)=NC,-777.693238,-777.758251,-777.92781
