ar,h,f,spe
MR_283912_1_24_1_2,-627.703465,-627.75929,-627.871204
MR_283912_1_25_2_4,-553.100711,-553.158251,-553.340559
MR_283912_1_26_3_6,-455.043272,-455.092366,-455.180467
MR_283912_1_27_4_3,-378.680999,-378.72567,-378.790893
MR_283912_1_29_6_4,-455.130363,-455.177593,-455.270248
MR_283912_1_2_3_4,-494.352256,-494.405277,-494.518973
MR_283912_1_30_7_2,-531.330483,-531.379311,-531.482721
MR_283912_1_31_8_47,-533.685804,-533.738684,-533.885892
MR_283912_1_3_4_4,-379.857494,-379.903158,-379.989823
MR_283912_1_5_6_7,-533.727245,-533.7823,-533.925856
MR_283912_1_6_7_11,-511.467069,-511.515923,-511.632154
MR_283912_1_8_1_3,-568.481351,-568.534625,-568.63182
MR_283912_1_9_2_6,-435.227355,-435.273062,-435.379605
MR_291729_1_0_1_2,-604.43897,-604.489528,-604.565771
MR_291729_1_11_4_7,-356.611823,-356.650052,-356.705126
MR_291729_1_12_5_5,-491.06782,-491.11204,-491.184185
MR_291729_1_14_7_5,-508.055466,-508.098242,-508.166369
MR_291729_1_15_8_41,-549.745783,-549.791488,-549.936206
MR_291729_1_17_2_6,-411.932682,-411.973898,-412.043279
MR_291729_1_18_3_1,-392.484794,-392.523997,-392.551728
MR_291729_1_19_4_3,-355.394378,-355.432342,-355.463426
MR_291729_1_20_5_3,-415.82994,-415.872536,-415.939985
MR_291729_1_21_6_5,-471.1251,-471.168755,-471.252295
MR_291729_1_22_7_10,-508.025287,-508.068709,-508.136119
MR_291729_1_23_8_2,-431.773324,-431.813929,-431.871543
MR_291729_1_24_1_1,-565.127745,-565.174098,-565.225389
MR_291729_1_26_3_3,-471.104477,-471.149135,-471.231521
MR_291729_1_27_4_2,-397.054205,-397.096712,-397.199278
MR_291729_1_29_6_8,-430.615657,-430.656473,-430.689858
MR_291729_1_2_3_2,-431.805042,-431.845706,-431.90319
MR_291729_1_30_7_11,-488.190892,-488.234153,-488.315076
MR_291729_1_31_8_30,-529.870738,-529.917189,-530.073814
MR_291729_1_3_4_10,-435.211901,-435.258503,-435.363416
MR_291729_1_4_5_2,-376.515908,-376.554217,-376.59653
MR_291729_1_5_6_7,-510.436436,-510.484107,-510.592924
MR_291729_1_6_7_3,-488.171399,-488.215165,-488.295733
MR_291729_1_7_8_23,-569.623711,-569.669733,-569.800648
MR_291729_1_8_1_3,-545.181092,-545.227759,-545.289962
MR_292167_1_0_1_1_1_4,-1098.59696,-1098.666309,-1098.837968
MR_292167_1_11_1_1_4_4,-870.674036,-870.734644,-870.86847
MR_292167_1_14_1_3_7_11,-982.331633,-982.398612,-982.567324
MR_292167_1_19_2_12_5_6,-773.234906,-773.293819,-773.402498
MR_292167_1_23_2_5_2_9,-890.80374,-890.872319,-891.118367
MR_292167_1_28_2_13_7_4,-868.880027,-868.942377,-869.102189
MR_292167_1_33_3_6_6_2,-851.873523,-851.935845,-852.104175
MR_292167_1_38_3_3_5_7,-833.573324,-833.634603,-833.783368
MR_292167_1_40_3_5_7_19,-985.6556,-985.723861,-985.94704
MR_292167_1_43_4_10_5_7,-797.676663,-797.73501,-797.908219
MR_292167_1_44_4_5_6_4,-776.706271,-776.763644,-776.929804
MR_292167_1_49_4_8_6_4,-776.681074,-776.743461,-776.904127
MR_292167_1_50_4_13_7_5,-886.277576,-886.337733,-886.518501
MR_292167_1_53_5_7_6_1,-794.359898,-794.420502,-794.541687
MR_292167_1_54_5_5_7_2,-948.068979,-948.132764,-948.299704
MR_292167_1_55_5_8_8_9,-872.7724,-872.838817,-873.01132
MR_292167_1_56_5_1_5_4,-778.409437,-778.465586,-778.602212
MR_292167_1_5_1_3_6_5,-965.348263,-965.413163,-965.587979
MR_292167_1_65_6_6_8_28,-950.001477,-950.070457,-950.33823
MR_292167_1_68_7_16_7_10,-983.301964,-983.366562,-983.547933
MR_381487_1_15_1_3_8_64,-930.646018,-930.710838,-930.864815
MR_381487_1_17_2_5_3_3,-816.902792,-816.967991,-817.16395
MR_381487_1_24_2_2_3_4,-777.593682,-777.657821,-777.824603
MR_381487_1_27_2_12_6_4,-659.696054,-659.75097,-659.838075
MR_381487_1_38_3_4_5_1,-703.925879,-703.986744,-704.1195
MR_381487_1_41_3_2_8_37,-836.766192,-836.826604,-837.01815
MR_381487_1_42_4_10_4_5,-686.286606,-686.351201,-686.522665
MR_381487_1_43_4_4_5_5,-702.881225,-702.938206,-703.053322
MR_381487_1_48_4_1_5_1,-590.630746,-590.685936,-590.814296
MR_381487_1_4_1_5_5_1,-856.694142,-856.760328,-856.929817
MR_381487_1_51_4_11_8_32,-703.598375,-703.655847,-703.853223
MR_381487_1_52_5_9_5_2,-722.830183,-722.890254,-722.989012
MR_381487_1_53_5_3_6_3,-781.545355,-781.612804,-781.776036
MR_381487_1_55_5_4_8_42,-856.744028,-856.804297,-856.984836
MR_381487_1_59_5_5_8_22,-915.922612,-915.986543,-916.179541
MR_381487_1_5_1_4_6_8,-870.388436,-870.452208,-870.56589
MR_381487_1_64_6_2_7_4,-834.449122,-834.513658,-834.652227
MR_381487_1_65_6_4_8_6,-698.997853,-699.052421,-699.171414
MR_381487_1_66_7_4_7_4,-871.278526,-871.338961,-871.464056
MR_381487_1_7_1_5_8_3,-910.781125,-910.847508,-911.010066
MR_493172_2_0_1_5_1_4,-1066.466812,-1066.550467,-1066.848442
MR_493172_2_15_1_1_8_19,-992.81354,-992.885762,-993.160736
MR_493172_2_28_2_13_7_2,-778.113501,-778.180036,-778.408723
MR_493172_2_30_3_2_3_4,-761.039841,-761.108118,-761.339298
MR_493172_2_31_3_2_4_3,-645.356964,-645.414737,-645.59901
MR_493172_2_38_3_2_5_5,-780.995919,-781.063365,-781.284465
MR_493172_2_40_3_5_7_11,-856.716937,-856.791064,-857.070723
MR_493172_2_48_4_7_5_10,-553.120765,-553.175958,-553.362712
MR_493172_2_51_4_11_8_50,-687.013008,-687.074037,-687.333839
MR_493172_2_60_6_3_6_5,-839.739651,-839.811332,-840.100471
MR_493172_2_67_7_4_8_13,-837.21328,-837.27978,-837.527823
MR_493172_2_68_7_4_7_2,-874.224398,-874.289914,-874.521684
MR_493172_2_69_7_19_8_55,-894.776905,-894.845002,-895.140996
MR_493172_2_9_1_5_2_5,-972.508551,-972.589144,-972.920323
MR_63884_0_0_1_3_1_7,-1004.480659,-1004.551723,-1004.738487
MR_63884_0_11_1_4_4_8,-855.126839,-855.194481,-855.396287
MR_63884_0_12_1_7_5_4,-911.014074,-911.078364,-911.248552
MR_63884_0_13_1_4_6_3,-969.707802,-969.781562,-970.013657
MR_63884_0_14_1_4_7_3,-947.407583,-947.473795,-947.679594
MR_63884_0_15_1_2_8_6,-891.01831,-891.08159,-891.264758
MR_63884_0_16_2_2_2_9,-777.208758,-777.274062,-777.497154
MR_63884_0_17_2_10_3_1,-718.415726,-718.473092,-718.632179
MR_63884_0_18_2_6_4_11,-605.152825,-605.206482,-605.359969
MR_63884_0_19_2_11_5_1,-742.920461,-742.98478,-743.202037
MR_63884_0_1_1_1_2_4,-969.645923,-969.719415,-969.950742
MR_63884_0_20_2_10_6_7,-836.41267,-836.479883,-836.719769
MR_63884_0_21_2_1_7_3,-774.845533,-774.903081,-775.08926
MR_63884_0_22_2_10_8_8,-777.156542,-777.219256,-777.4468
MR_63884_0_23_2_7_2_1,-737.938611,-738.001469,-738.19832
MR_63884_0_24_2_6_3_6,-718.443925,-718.502231,-718.660514
